"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15","2_1","2_2","4_1","7_1"
"446ad6c",-2796.389221429825,"unknown",-2789.873684167862,-2783.0052688121796,0.0,6.440232515335083,66.51269674301147,74.23797845840454,92.19500422477722,97.90318465232849,101.52624940872192,108.06001615524292,"unknown",114.65013360977173,147.12292742729187,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",152.90761590003967,"unknown","unknown",159.14401078224182,"","","",""
"70405ea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117a63",-8786.193303108215,"unknown",-8779.744856834412,-8772.547429800034,0.0,6.213845252990723,12.4118070602417,17.9000506401062,32.437870502471924,38.91702628135681,52.13792037963867,"unknown",58.070289850234985,63.8559296131134,73.48274731636047,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",80.40012335777283,"unknown","unknown",87.05073571205139,"","","",""
"537189f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17b5a6e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d3e37eb",-25628.883196115494,"unknown",-25623.630318164825,-25616.50341272354,0.0,6.655436277389526,9.33469271659851,16.090723276138306,27.573901176452637,34.60785889625549,39.684264183044434,45.91904878616333,"unknown",53.057342529296875,54.32497978210449,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",59.899230003356934,"unknown","unknown",65.89601874351501,"","","",""
"2ee7f92",-2193.39515542984,"unknown",-2187.5473079681396,-2180.382903575897,0.0,5.645905494689941,8.470523595809937,15.530241250991821,47.037736892700195,52.90805196762085,231.38653373718262,237.7007884979248,"unknown",243.2094008922577,249.148099899292,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",254.7875394821167,"unknown","unknown",261.83588767051697,"","","",""
"89d63ed",-135331.8782172203,"unknown",-135324.8179371357,-135317.83794140816,0.0,6.6938865184783936,30.825445652008057,38.13539528846741,44.722392082214355,51.35617399215698,55.3118953704834,"unknown",60.99820947647095,66.66272306442261,79.261967420578,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",85.0139741897583,"unknown","unknown",90.30001759529114,"","","",""
"c0a644e",-20.129557609558105,"unknown",-13.96191930770874,-8.560026407241821,0.0,6.695078134536743,9.676449537277222,15.57737684249878,20.099163055419922,26.867079973220825,32.6111741065979,"unknown",39.777636766433716,46.82235026359558,49.211567640304565,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",54.80079126358032,"unknown","unknown",61.576616287231445,"","","",""
"80f558b",-118737.24556517601,"unknown",-118731.10303425789,-118725.59864425659,0.0,7.273995637893677,39.079272508621216,45.36694025993347,56.47575306892395,62.1605703830719,65.71084833145142,"unknown",72.47934317588806,78.59948945045471,81.1672294139862,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",86.8035876750946,"unknown","unknown",92.65152716636658,"","","",""
