"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","cont_2","cont_3","2_1","2_2"
"e892cd4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac42d69",-9339.617232322693,"unknown",-9332.687388181686,-9326.360184192657,0.0,5.888906478881836,9.798029899597168,18.05599021911621,34.105364084243774,40.75537657737732,49.92470693588257,56.51253604888916,"unknown",63.491501569747925,66.42570400238037,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",72.78721785545349,"unknown","unknown",79.98048710823059,"","","",""
"7bb45d3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7622483","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"730747e",-1757.8641333580017,"unknown",-1752.4810037612915,-1746.536720275879,0.0,7.363425970077515,12.405598402023315,19.264708518981934,33.60998773574829,40.32106280326843,45.032713174819946,"unknown",51.07555556297302,56.62659502029419,58.608765840530396,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",64.59025263786316,"unknown","unknown",71.3223967552185,"","","",""
"07ff49d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22fdb61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db046f2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99ee852","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ad2fc5b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d318264","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"741ef32",-34.33591175079346,"unknown",-29.030966997146606,-21.67887806892395,0.0,5.4665207862854,8.928743600845337,16.99002981185913,46.25012469291687,51.65527677536011,136.72196292877197,143.53020215034485,"unknown",149.89342880249023,166.52495121955872,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",172.24654746055603,"unknown","unknown",179.38471055030823,"","","",""
"b75259d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b67425b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"446ad6c",-6337.505010843277,"unknown",-6330.330505609512,-6323.215180873871,0.0,6.5333850383758545,20.97252917289734,29.108488082885742,41.407798767089844,47.75425338745117,74.40566158294678,"unknown",80.06853318214417,85.60354018211365,94.39140677452087,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",100.66189861297607,"unknown","unknown",106.63978695869446,"","","",""
"70405ea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117a63",-2354.336301088333,"unknown",-2347.6762342453003,-2340.72847032547,0.0,5.676903486251831,10.94992208480835,17.480870723724365,36.98162245750427,44.03249430656433,56.01637840270996,61.65793418884277,"unknown",67.18020868301392,68.7265694141388,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",74.94583916664124,"unknown","unknown",80.99647784233093,"","","",""
"537189f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17b5a6e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d3e37eb",-413356.93570256233,"unknown",-413351.38447499275,-413345.8150560856,0.0,5.644195318222046,7.802124261856079,16.14175295829773,30.505927085876465,37.73746156692505,107.69434571266174,114.14037013053894,"unknown",120.15978479385376,121.62796330451965,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",127.55207991600037,"unknown","unknown",133.53383350372314,"","","",""
"2ee7f92",-5094.798107624054,"unknown",-5087.804618835449,-5082.05811047554,0.0,5.562623500823975,7.170129060745239,15.45740795135498,24.129584789276123,31.295411348342896,40.68292021751404,47.256972551345825,"unknown",52.99485540390015,54.19113254547119,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",60.79188847541809,"unknown","unknown",67.29405164718628,"","","",""
"89d63ed",-151.60021805763245,"unknown",-96.29514169692993,-42.03928089141846,0.0,6.291728258132935,9.210487127304077,16.212823390960693,20.816394329071045,28.628308534622192,38.8628830909729,"unknown",45.97512245178223,52.52097725868225,56.85512685775757,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",62.92948007583618,"unknown","unknown",69.09119176864624,"","","",""
