"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1","2_2","5_1"
"0a30844",-185730.9587020874,"unknown",-185725.16609716415,-185718.89928269386,0.0,5.457217454910278,20.42059350013733,25.849345445632935,40.99039959907532,46.704758405685425,62.95185136795044,"unknown",70.25550580024719,76.58284187316895,80.56114196777344,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",86.9347357749939,"unknown","unknown",92.93148422241211,"","",""
"43d0b63",-3260.4786376953125,"unknown",-3253.7790768146515,-3247.144534111023,0.0,7.3012988567352295,14.327667474746704,21.17008352279663,42.696406841278076,48.63353133201599,58.53385353088379,64.08930230140686,"unknown",70.99230003356934,73.0002715587616,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",79.6602885723114,"unknown","unknown",85.07484292984009,"","",""
"addf295",-86548.59737610817,"unknown",-86542.54954195023,-86537.3010878563,0.0,6.961330413818359,50.26121139526367,65.62453031539917,110.05654096603394,124.50051093101501,139.393545627594,"unknown",156.55754017829895,172.70022702217102,182.0336468219757,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",197.14483880996704,"unknown","unknown",208.0596604347229,"","",""
"1a8e45b",-3004.8597164154053,"unknown",-2997.9510962963104,-2991.8898780345917,0.0,6.3697850704193115,16.727055072784424,22.669880628585815,31.896059274673462,37.343756914138794,42.64198660850525,"unknown",49.15443706512451,54.45291447639465,56.298691511154175,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",63.15407419204712,"unknown","unknown",69.14682674407959,"","",""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434",-310558.6071588993,"unknown",-310552.9680855274,-310547.3960020542,0.0,6.582071781158447,14.14922022819519,20.389501094818115,43.21430015563965,49.92426943778992,99.02562642097473,"unknown",105.28568577766418,112.20172786712646,114.07372736930847,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",120.05556607246399,"unknown","unknown",126.68404626846313,"","",""
"bd305b8",-3959612.09765172,"unknown",-3959606.1621813774,-3959600.928500414,0.0,6.654713869094849,14.44995927810669,20.573930740356445,41.188904762268066,47.161370277404785,74.47043013572693,80.2204761505127,"unknown",86.47870993614197,89.65106654167175,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",95.4139792919159,"unknown","unknown",102.03673553466797,"","",""
"4b70ed3",-15.37719988822937,"unknown",-9.16449499130249,-3.747929811477661,0.0,5.4837541580200195,14.178670167922974,21.53265643119812,36.45059323310852,42.97543406486511,71.02710914611816,"unknown",77.59542655944824,83.25662469863892,84.92404580116272,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",90.78785586357117,"unknown","unknown",96.9217221736908,"","",""
"8ec15bc",-22419.43786263466,"unknown",-22412.3845140934,-22406.822865247726,0.0,5.879701614379883,12.287597179412842,18.580541372299194,35.226489543914795,41.7733051776886,53.57798504829407,"unknown",59.7608962059021,65.34870529174805,67.55393552780151,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",74.76161623001099,"unknown","unknown",81.44065737724304,"","",""
"6c8906b",-34530.64613580704,"unknown",-34524.881749391556,-34518.00400543213,0.0,6.473663091659546,10.169139623641968,15.951663970947266,29.901952743530273,37.048226833343506,169513.1128871441,"unknown",169519.6387066841,169526.38482666016,169528.0640413761,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",169533.4257080555,"unknown","unknown",169539.78794884682,"","",""
