"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","x_3","12A","12B","13_1","13_2","13_3","15","2_1"
"145d339",-816247.6743803024,-816242.0929040909,-816235.5093047619,-816228.8696601391,0.0,7.085059404373169,10.638580322265625,16.853924036026,38.613022804260254,44.05844569206238,63.439388275146484,69.76516079902649,"unknown",76.14807915687561,78.30695796012878,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",83.7736701965332,"unknown","unknown",90.67814898490906,""
"e96f42c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f382ec0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"962a7dd",-6997.199693202972,-6990.312662601471,-6984.539311885834,-6977.454570770264,0.0,5.963113307952881,12.830896377563477,19.50245451927185,39.47311496734619,45.8347327709198,65.00406193733215,"unknown",70.60829663276672,77.8454864025116,83.99293732643127,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",90.36973452568054,"unknown","unknown",95.99533605575562,""
"5c97513","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"acc6118","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d33371d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d45bd1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfcbc2d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98ecb86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7636563",-20.76199436187744,-15.000701189041138,-7.87870979309082,-1.6142127513885498,0.0,6.393211126327515,10.704054355621338,15.854947090148926,41.70518922805786,48.05048155784607,149.9396572113037,"unknown",157.17078948020935,163.3526520729065,169.9027762413025,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",176.04365730285645,"unknown","unknown",182.24957084655762,""
"5d2b358","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d9ae0c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73d4e20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"be94a32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9f972fb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6e93efd",-2852.2070508003235,-2846.039645910263,-2839.824810743332,-2834.4354865550995,0.0,7.537537097930908,47.68215465545654,54.86225771903992,58.1422963142395,64.3938193321228,74.53539252281189,81.18243193626404,"unknown",86.47119474411011,88.65295052528381,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",95.58594226837158,"unknown","unknown",100.98372340202332,""
"5a4afae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c34e373","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6bac72b",-10159.05366396904,-10153.709608078003,-10147.671407461166,-10140.431566238403,0.0,6.215543031692505,11.421829462051392,18.309083223342896,94.55308866500854,100.72545981407166,110.12626266479492,117.17742371559143,"unknown",122.8877763748169,127.31161236763,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",134.55890464782715,"unknown","unknown",141.3539068698883,""
"c9285e4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd4b2f4",-12640.61387681961,-12633.866095781326,-12626.855033636093,-12620.430484056473,0.0,6.147924900054932,8.075109481811523,14.877657890319824,35.0421576499939,42.04692101478577,55.71872115135193,61.08518600463867,"unknown",68.09292030334473,69.83625817298889,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",75.67266988754272,"unknown","unknown",81.67932200431824,""
"bd650e8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b81bc6e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0ff20c2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b0e3caa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45f7f6c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
