"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","x_3","12A","12B","13_1","13_2","13_3","15","3_1","2_1"
"ee4b6cd",-119.32521867752075,"unknown",-112.64289855957031,-106.32569742202759,0.0,6.40410590171814,11.101467370986938,19.206843852996826,48.75267815589905,54.76261043548584,79.84309029579163,"unknown",85.7673499584198,92.4915680885315,96.42966985702515,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",103.53517174720764,"unknown","unknown",109.38359427452087,"",""
"f2291ba",-10257.104695558548,"unknown",-10250.704449176788,-10244.478929042816,0.0,7.030143737792969,13.165130376815796,21.34593176841736,51.42551779747009,57.58087611198425,66.1523506641388,"unknown",72.34701156616211,79.25728726387024,80.78733944892883,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",86.56215167045593,"unknown","unknown",93.95864844322205,"",""
"fb6ca94",-55066.938054561615,"unknown",-55060.467752456665,-55053.57193040848,0.0,6.282270669937134,11.0739164352417,18.57151985168457,33.690709590911865,40.55269646644592,51.05059552192688,57.95205283164978,"unknown",64.4602735042572,67.00902605056763,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",73.55194234848022,"unknown","unknown",80.5355761051178,"",""
"516417f",-97027.44461607933,"unknown",-97021.11585617065,-97015.63430690765,0.0,6.839768648147583,14.37434458732605,21.461907863616943,61.902477741241455,68.3950023651123,115.3313684463501,122.16416549682617,"unknown",127.76587080955505,130.19878458976746,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",137.1377489566803,"unknown","unknown",144.04598212242126,"",""
"7a0eabe",-40.00982737541199,"unknown",-32.886364459991455,-27.297038555145264,0.0,7.002181529998779,12.76095199584961,20.360722303390503,49.28828477859497,56.52888345718384,64.68053984642029,71.36987638473511,"unknown",76.67305541038513,78.63618779182434,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",85.51113867759705,"unknown","unknown",92.84115529060364,"",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-1663.590364933014,"unknown",-1657.234797000885,-1650.9438235759735,0.0,5.596086502075195,10.008703708648682,18.599852561950684,35.33594489097595,41.56874370574951,56.43025541305542,"unknown",63.591439723968506,70.29914927482605,74.39720797538757,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",81.01945519447327,"unknown","unknown",87.56931114196777,"",""
"50a0fdd",-46.35297250747681,"unknown",-39.432032346725464,-32.629189252853394,0.0,5.651416063308716,12.575769424438477,20.59469723701477,175.68145370483398,182.53469467163086,188.80507063865662,"unknown",194.74194192886353,200.2669439315796,204.69530487060547,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",210.1183443069458,"unknown","unknown",216.54537749290466,"",""
"b7cec81",-55255.24714207649,"unknown",-55248.33088684082,-55242.32557415962,0.0,7.009805917739868,12.275536060333252,21.70289707183838,34.89201283454895,41.98025107383728,55.34486722946167,60.877644062042236,"unknown",67.16059136390686,69.17260575294495,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",75.06607913970947,"unknown","unknown",80.6646056175232,"",""
"bf983ba",-1095.9370472431183,"unknown",-913.5909168720245,-761.2169170379639,0.0,8.171573877334595,11.10174298286438,19.174341678619385,64.94399499893188,71.2934513092041,85.75792169570923,"unknown",91.89085483551025,97.75643682479858,99.7719476222992,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",106.5063967704773,"unknown","unknown",114.45893454551697,"",""
"b53b559",-443138.134193182,"unknown",-443130.9984278679,-443125.2948679924,0.0,6.7277891635894775,20.520275115966797,29.222758293151855,55.868619441986084,61.49338340759277,81.46494007110596,88.1199951171875,"unknown",93.80377173423767,109.42440485954285,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",116.32294225692749,"unknown","unknown",123.5962450504303,"",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b",-70036.66495990753,"unknown",-70030.3659055233,-70023.82700037956,0.0,5.859665393829346,14.734327793121338,23.450525283813477,37.06369709968567,44.267385721206665,56.27157497406006,"unknown",62.00614619255066,68.41215109825134,83.30692911148071,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",89.4246895313263,"unknown","unknown",95.22983074188232,"",""
"1800004",-14.750806331634521,"unknown",-9.074076890945435,-2.058269500732422,0.0,5.563414096832275,11.972174406051636,20.923386335372925,29.02363681793213,35.26652789115906,39.592787981033325,"unknown",46.94625759124756,53.73870372772217,56.277061462402344,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",63.45999598503113,"unknown","unknown",69.64489078521729,"",""
"7b3c431",-128949.76490044594,"unknown",-128943.46487283707,-128938.0507786274,0.0,5.901505708694458,12.481761693954468,20.837122678756714,43.117180824279785,49.53768849372864,66.16619753837585,71.79236435890198,"unknown",77.7834746837616,79.79524731636047,86.40804505348206,98.38177466392517,"unknown",105.60623979568481,111.46989846229553,113.51474094390869,"unknown","","unknown","unknown","unknown",119.36743426322937,"unknown",124.69903445243835,"",""
"2457ed6",-25517.100745916367,"unknown",-25510.1988530159,-25503.608053684235,0.0,6.222380876541138,11.228378057479858,19.14747929573059,30.41318392753601,36.90336513519287,45.703805685043335,"unknown",53.0436532497406,58.97662544250488,60.60953092575073,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",67.70165491104126,"unknown","unknown",75.03546786308289,"",""
"c4bba29",-1168.57461810112,"unknown",-1161.9444732666016,-1155.8923118114471,0.0,7.340478181838989,12.684086561203003,19.906140565872192,53.085811376571655,60.398953676223755,73.72879886627197,80.3641996383667,"unknown",86.36753606796265,99.65782856941223,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",105.28424167633057,"unknown","unknown",112.09216713905334,"",""
"2dffb9e",-15.022603750228882,"unknown",-9.601912260055542,-3.8577752113342285,0.0,7.130006551742554,10.362659931182861,19.28235673904419,39.90739727020264,45.392853021621704,53.97591996192932,59.28666067123413,"unknown",65.2825608253479,67.24312400817871,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",74.43275022506714,"unknown","unknown",79.91734862327576,"",""
"7a35b75",-128.1154079437256,"unknown",-122.52004051208496,-115.54865527153015,0.0,6.107617378234863,24.138766050338745,32.84583878517151,49.03083848953247,56.05104660987854,106.20398497581482,113.13380694389343,"unknown",118.88190364837646,120.85887718200684,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",126.83464479446411,"unknown","unknown",134.14310121536255,"",""
