"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1","4_1","2_2"
"f2291ba",-11286.1368765831,"unknown",-11278.757615566254,-11272.036490678787,0.0,7.136381149291992,13.314541816711426,21.431903839111328,62.9632670879364,69.24752140045166,88.94203305244446,95.17933583259583,"unknown",100.81110882759094,110.36731386184692,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",115.90579009056091,"unknown","unknown",121.33299708366394,"","",""
"fb6ca94",-170807.40004754066,"unknown",-170800.78039884567,-170794.67630195618,0.0,5.720950603485107,10.027308225631714,17.761306047439575,39.64820337295532,45.0409038066864,57.68567752838135,"unknown",63.217262268066406,68.9681990146637,70.48050451278687,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",77.39748811721802,"unknown","unknown",84.00691771507263,"","",""
"516417f",-245642.1013610363,"unknown",-245636.65781021118,-245630.3631043434,0.0,7.1251442432403564,14.612202405929565,21.937048196792603,39.7075560092926,46.49903154373169,86.95441675186157,94.10419416427612,"unknown",100.2299394607544,102.55222940444946,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",109.76187896728516,"unknown","unknown",116.36184811592102,"","",""
"7a0eabe",-36.603190422058105,"unknown",-31.17676544189453,-24.94513511657715,0.0,7.178020000457764,14.40330457687378,21.333019256591797,49.19676685333252,56.04454326629639,63.97105097770691,70.03182530403137,"unknown",77.04569578170776,79.69809055328369,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",85.91932487487793,"unknown","unknown",92.62588143348694,"","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-16184.18929553032,"unknown",-16177.53553032875,-16172.04343032837,0.0,6.025636672973633,26.850732564926147,34.68867826461792,46.43918037414551,53.554317235946655,63.57257556915283,69.54813742637634,"unknown",76.15964412689209,79.40303874015808,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",86.31784319877625,"unknown","unknown",92.67261409759521,"","",""
"50a0fdd",-29.968170404434204,"unknown",-24.12729263305664,-16.902649879455566,0.0,6.8540940284729,21.646568059921265,30.54269504547119,46.270044803619385,53.14096927642822,73.2786877155304,"unknown",78.74276065826416,84.24003100395203,86.60555148124695,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",91.97327637672424,"unknown","unknown",97.70326352119446,"","",""
"b7cec81",-36251.161823272705,"unknown",-36245.35852718353,-36240.02640533447,0.0,6.40993857383728,10.998352289199829,19.800475120544434,30.191497564315796,36.39943552017212,96.8955307006836,102.52805376052856,"unknown",108.80385065078735,113.33998394012451,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",120.13534712791443,"unknown","unknown",127.711354970932,"","",""
