"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","cont_2","2_1","2_2"
"b7cec81",-62925.677448272705,"unknown",-62919.383950948715,-62912.21428775787,0.0,5.444029331207275,9.125747919082642,15.959782600402832,24.51655149459839,30.749408960342407,36.68226480484009,43.34938931465149,"unknown",50.288968324661255,56.93955898284912,63.14539670944214,74.13816857337952,80.49330377578735,"unknown",87.56575536727905,90.04165172576904,"unknown","unknown","unknown","unknown",97.14086103439331,"unknown",104.18968391418457,"","",""
"bf983ba",-3688.916405439377,"unknown",-3683.382597923279,-3677.5444123744965,0.0,6.416352987289429,8.514795303344727,15.190671920776367,24.521204710006714,30.991039037704468,33.72356820106506,40.490400075912476,"unknown",46.77538275718689,56.156922578811646,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",62.055484771728516,"unknown","unknown",68.99682116508484,"","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-98874.88100004196,"unknown",-98868.99347519875,-98861.87618660927,0.0,5.663142442703247,11.686241865158081,20.023049116134644,32.013184547424316,38.37533736228943,43.793359994888306,50.05742144584656,"unknown",55.637385845184326,64.6531171798706,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",70.36958289146423,"unknown","unknown",77.35254549980164,"","",""
"2457ed6",-22761.447897672653,"unknown",-22754.64826273918,-22748.315266370773,0.0,6.1392316818237305,8.070944547653198,15.563122987747192,24.101541757583618,29.503760814666748,34.16025972366333,39.9809455871582,"unknown",45.73558497428894,47.840028524398804,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",54.88871121406555,"unknown","unknown",61.39894366264343,"","",""
"c4bba29",-1039.1468453407288,"unknown",-1031.848341703415,-1024.7174682617188,0.0,6.806177139282227,9.475444793701172,17.397560596466064,32.72604537010193,38.56994891166687,46.07847571372986,51.42857098579407,"unknown",56.71089196205139,72.09950566291809,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",77.93052887916565,"unknown","unknown",83.52046728134155,"","",""
"2dffb9e",-11182.242945671082,"unknown",-11176.052262306213,-11170.084885597229,0.0,6.170483589172363,13.722907066345215,22.353445053100586,33.359809160232544,39.95745277404785,44.1575231552124,49.89991879463196,"unknown",55.73457312583923,57.88622212409973,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",64.52686285972595,"unknown","unknown",71.0279152393341,"","",""
"7a35b75",-7022.2535989284515,"unknown",-7016.497493505478,-7010.185979604721,0.0,6.116485118865967,15.462379217147827,22.39808416366577,44.51462960243225,51.22084641456604,68.50135159492493,75.23650431632996,"unknown",80.52516627311707,83.61195278167725,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",89.27401638031006,"unknown","unknown",94.90793704986572,"","",""
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e",-18.489644289016724,"unknown",-10.397926330566406,-3.1914145946502686,0.0,5.8985068798065186,19.11056089401245,29.258639812469482,54.934553146362305,61.40139961242676,67.6005322933197,74.47460436820984,"unknown",80.49609160423279,84.42032241821289,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",91.48147010803223,"unknown","unknown",98.19072723388672,"","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471",-4116.101859331131,"unknown",-4109.243456602097,-4103.423731088638,0.0,6.317993640899658,11.709413766860962,19.34521746635437,35.58315682411194,42.493637800216675,47.103819608688354,53.16280746459961,"unknown",59.86052227020264,62.63446068763733,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",69.91281485557556,"unknown","unknown",75.07741737365723,"","",""
"0a30844",-12441.817505598068,"unknown",-12435.922861099243,-12429.7192902565,0.0,6.556861400604248,11.148392677307129,19.12466263771057,35.296801805496216,41.74650478363037,48.899606227874756,56.004117012023926,"unknown",61.550740003585815,65.86553525924683,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",72.60419464111328,"unknown","unknown",78.38020753860474,"","",""
"43d0b63",-597.3683741092682,"unknown",-591.5312578678131,-584.9863927364349,0.0,5.469980001449585,8.641984462738037,16.11716914176941,36.24947929382324,42.260448694229126,48.34021496772766,54.89138603210449,"unknown",60.58888483047485,63.24347138404846,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",70.38845658302307,"unknown","unknown",77.16148471832275,"","",""
"addf295",-105.90098071098328,"unknown",-100.38122463226318,-94.7337098121643,0.0,5.952992677688599,20.276432752609253,29.41899847984314,56.94923377037048,63.01463007926941,68.3109176158905,74.56605696678162,"unknown",80.41695427894592,92.13973617553711,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",97.53712868690491,"unknown","unknown",104.26860165596008,"","",""
"1a8e45b",-4923.2190663814545,"unknown",-4915.962352991104,-4909.51548910141,0.0,6.548147678375244,9.176113605499268,17.64128088951111,34.21444582939148,39.55697250366211,45.895397663116455,52.77976441383362,"unknown",59.16930866241455,64.25948452949524,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",71.12440657615662,"unknown","unknown",77.69021415710449,"","",""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434",-1029935.4173212051,"unknown",-1029929.4358251095,-1029922.9170982838,0.0,15.30691409111023,23.580722332000732,47.290130615234375,95.06871676445007,103.45818591117859,121.55300807952881,127.1182029247284,"unknown",141.52848434448242,147.84257459640503,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",166.5090651512146,"unknown","unknown",181.92250561714172,"",-431.7240560054779,""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
