"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15","cont_2","cont_3","2_1","2_2"
"d3e37eb",-295442.98811006546,"unknown",-295437.695045948,-295432.01262545586,0.0,6.579137325286865,9.135648965835571,16.186052560806274,32.060067892074585,39.12119102478027,61.713542222976685,67.97599267959595,"unknown",75.04309439659119,77.08660554885864,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",83.53366303443909,"unknown","unknown",90.53390741348267,"","","",""
"2ee7f92",-924.7924847602844,"unknown",-917.6735463142395,-910.8864545822144,0.0,5.625050783157349,9.535041570663452,15.972762823104858,18.475663661956787,24.15754246711731,52.13146638870239,58.39994716644287,"unknown",64.78759574890137,66.48092889785767,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",72.24110293388367,"unknown","unknown",79.25364422798157,"","","",""
"89d63ed",-5450.658864736557,"unknown",-5444.763110637665,-5438.289266824722,0.0,7.107484340667725,9.10647201538086,15.053419828414917,18.552635669708252,24.54894232749939,37.16735124588013,44.37111806869507,"unknown",49.85360264778137,51.8889741897583,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",57.2500159740448,"unknown","unknown",63.47678828239441,"","","",""
"c0a644e",-99253.46810984612,"unknown",-99247.82310962677,-99242.21846961975,0.0,5.345256090164185,12.428720951080322,18.29783344268799,31.36410355567932,37.918980836868286,49.560571908950806,55.39693260192871,"unknown",61.58518981933594,63.384872913360596,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",70.68836092948914,"unknown","unknown",76.62877941131592,"","","",""
"80f558b",-9068.263247966766,"unknown",-9061.663191318512,-9054.531859874725,0.0,6.330368995666504,12.657662868499756,18.25136137008667,47.44797158241272,53.81934142112732,76.47292566299438,82.75923442840576,"unknown",88.45471835136414,92.88047814369202,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",98.7604432106018,"unknown","unknown",105.26430583000183,"","","",""
"87e4f18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0186834","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0355f6d",-12731.886936903,"unknown",-12724.665274620056,-12718.678562641144,0.0,5.599147796630859,13.500550031661987,20.709633827209473,46.99007487297058,54.348668575286865,104.37731337547302,110.17541241645813,"unknown",115.77785444259644,118.27515149116516,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",124.18328905105591,"unknown","unknown",130.14112281799316,"","","",""
"fa6a8b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"145d339",-15639.582242488861,"unknown",-15632.994240999222,-15626.1288793087,0.0,7.10662317276001,9.835767984390259,16.00263285636902,40.2330265045166,47.087631940841675,55.43882083892822,62.46515250205994,"unknown",69.31011438369751,71.61927938461304,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",78.16467881202698,"unknown","unknown",83.5044436454773,"","","",""
"e96f42c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f382ec0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"962a7dd",-14.764131307601929,"unknown",-8.859649658203125,-2.479039192199707,0.0,6.479288578033447,12.91858720779419,19.70048189163208,42.6498589515686,49.90969729423523,70.07267570495605,"unknown",76.36316466331482,81.82828736305237,89.9730064868927,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",96.93269324302673,"unknown","unknown",103.98596549034119,"","","",""
"5c97513","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"acc6118",-14018.197963953018,"unknown",-14012.292860507965,-14005.585541725159,0.0,6.191687345504761,12.120289087295532,19.10861372947693,36.15836715698242,42.28672671318054,49.777337074279785,56.06814527511597,"unknown",62.53177237510681,64.24542593955994,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",71.30614900588989,"unknown","unknown",77.8513286113739,"","","",""
"d33371d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d45bd1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfcbc2d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98ecb86",-836.498780965805,"unknown",-829.8284134864807,-822.9776654243469,0.0,6.035011529922485,8.980574131011963,15.695886373519897,18.440047025680542,25.648919105529785,45.02577447891235,51.170204162597656,"unknown",57.79817199707031,61.16415739059448,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",66.5114164352417,"unknown","unknown",73.28638434410095,"","","",""
"7636563",-39.423057079315186,"unknown",-33.969666481018066,-28.304045915603638,0.0,7.180448532104492,11.975147247314453,19.126698970794678,33.18957710266113,39.92043137550354,47.04629945755005,53.72737216949463,"unknown",59.06454610824585,60.946900367736816,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",67.0278480052948,"unknown","unknown",72.65459418296814,"","","",""
"5d2b358","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d9ae0c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73d4e20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"be94a32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9f972fb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
