"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1","5_1"
"4c228f6",-151.7529058456421,"unknown",-144.83454203605652,-138.24227237701416,0.0,7.062490940093994,37.647125482559204,46.33354306221008,55.40415072441101,62.660823583602905,100.4454300403595,107.81967854499817,"unknown",113.70802903175354,117.01832389831543,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",123.20104432106018,"unknown","unknown",129.05272436141968,"",""
"747ce5f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6ab42f2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41f2447",-3173.5924365520477,"unknown",-3167.948968887329,-3162.112560033798,0.0,5.639972686767578,7.9651172161102295,15.562730550765991,27.133153438568115,34.43848371505737,43.869250774383545,"unknown",50.064642667770386,57.27923893928528,59.41281795501709,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",65.30665802955627,"unknown","unknown",72.40012550354004,"",""
"5bf619a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a123713","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4997357","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5455b1d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f52861b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"466a0ab","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"399b994","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6568ea1",-1724.7266960144043,"unknown",-1718.925452709198,-1712.8028662204742,0.0,5.889726161956787,12.769857168197632,19.597213983535767,38.63184213638306,45.21896028518677,70.01476955413818,76.22406840324402,"unknown",81.76352453231812,84.01560497283936,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",90.17669177055359,"unknown","unknown",97.55966353416443,"",""
"a839247","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d6ad7f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"528d0fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"900150c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"924de30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d925650","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37798a6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ff10184","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cde7968","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
