"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15","2_1"
"8ec15bc",-16110.441754817963,"unknown",-16104.929621458054,-16098.552095651627,0.0,6.0558860301971436,69.85878086090088,76.97924709320068,112.28135704994202,119.39092540740967,129.6603662967682,"unknown",136.12383484840393,142.82790088653564,145.31524991989136,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",151.7819001674652,"unknown","unknown",157.75178599357605,""
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f",-176460.53909993172,"unknown",-176453.53335046768,-176447.47153806686,0.0,7.167926788330078,145.3142604827881,152.90477108955383,166.07363891601562,171.5185351371765,181.18193864822388,"unknown",188.2944052219391,195.16081023216248,200.03884053230286,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",205.85838627815247,"unknown","unknown",211.72205448150635,""
"a300755","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"802d704","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e892cd4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac42d69",-26462.53803062439,"unknown",-26456.008885622025,-26450.0068256855,0.0,7.223376512527466,13.395582437515259,20.75527286529541,48.17683553695679,54.32298541069031,186.33356404304504,"unknown",193.84702348709106,200.64530205726624,202.88624477386475,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",209.75294542312622,"unknown","unknown",217.0336594581604,""
"7bb45d3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7622483","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"730747e",-1039.5845363140106,"unknown",-1033.7136886119843,-1027.8430321216583,0.0,6.01823878288269,50.227887868881226,58.74444341659546,72.31333756446838,78.58944916725159,85.9014196395874,"unknown",91.30456328392029,97.53367710113525,99.28272986412048,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",105.46033215522766,"unknown","unknown",110.7126669883728,""
"07ff49d",-1846.5454504489899,"unknown",-1839.6801981925964,-1832.5118703842163,0.0,6.060864686965942,8.614049434661865,17.443361520767212,29.02082872390747,35.669779777526855,44.38969397544861,"unknown",50.88077259063721,56.57739543914795,58.06719136238098,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",64.08556246757507,"unknown","unknown",70.42655086517334,""
"22fdb61","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db046f2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99ee852",-30929.886482715607,"unknown",-30924.47802591324,-30917.177890062332,0.0,5.455287456512451,265.80191445350647,274.27655506134033,288.63743329048157,294.6080927848816,317.44534182548523,324.44012689590454,"unknown",331.3172912597656,334.2971878051758,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",340.49520325660706,"unknown","unknown",346.77960443496704,""
"ad2fc5b","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d318264","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"741ef32",-48.03269076347351,"unknown",-42.41061186790466,-35.3710458278656,0.0,5.2803661823272705,13.668013572692871,20.732707262039185,42.79995346069336,49.4584002494812,63.53435921669006,"unknown",69.04206871986389,75.48268866539001,77.35103940963745,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",83.48718667030334,"unknown","unknown",89.38868641853333,""
"b75259d","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b67425b","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"446ad6c",-4353.836169719696,"unknown",-4348.341603040695,-4341.361310720444,0.0,5.819350719451904,7.32162880897522,13.905770301818848,28.017261505126953,34.805683851242065,48.705233097076416,55.766775608062744,"unknown",61.29226779937744,64.11076021194458,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",70.28367900848389,"unknown","unknown",76.98258399963379,""
"70405ea","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117a63",-1161.0948305130005,"unknown",-1154.8868174552917,-1148.0456321239471,0.0,6.297688245773315,12.269037246704102,20.543747901916504,43.98011326789856,50.125731229782104,94.10010123252869,"unknown",99.6692168712616,105.02113270759583,109.55559182167053,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",115.33049035072327,"unknown","unknown",122.61714792251587,""
"537189f","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17b5a6e","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d3e37eb",-994.7304313182831,"unknown",-988.0441551208496,-981.8440165519714,0.0,7.307469367980957,11.433671712875366,18.923354148864746,42.61480259895325,49.699660301208496,63.64248085021973,"unknown",69.31166505813599,74.72913146018982,76.39613485336304,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",82.75302457809448,"unknown","unknown",88.13526630401611,""
"2ee7f92",-1293143.294430256,"unknown",-1293137.4913961887,-1293131.281276226,0.0,7.061062812805176,14.653696298599243,22.54524040222168,30.127551317214966,36.92064809799194,43.888673067092896,49.51656150817871,"unknown",54.986541986465454,56.76295828819275,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",63.431315898895264,"unknown","unknown",70.04819083213806,""
