"","yo_1","yo_2","yo_final","otro_1","otro_2","otro_3","otro_final"
"8fd863f","A","","A","A","","","A"
"7384692","C","","C","B","","","B"
"839a53c","","","","","","",""
"4828266","B","","B","A","","","A"
"e0111ac","","","","","","",""
"8fe0c53","","","","","","",""
"b12b978","","","","","","",""
"6067843","","","","","","",""
"0514a07","B","","B","A","","","A"
"942d694","","","","","","",""
"9a1b5fa","B","","B","C","","","C"
"fffd3b6","","","","","","",""
"619e952","C","","C","B","","","B"
"485801f","","","","","","",""
"a0bd77e","","","","","","",""
"492238f","A","","A","A","","","A"
"37798a6","B","","B","A","","","A"
"65fc101","","","","","","",""
"bba08e8","","","","","","",""
"b0e3caa","A","","A","A","","","A"
"d874e84","B","","B","A","","","A"
"060cd49","","","","","","",""
"4bb7fd2","","","","","","",""
"2d5866b","","","","","","",""
"db844b1","B","","B","B","","","B"
"eccfff0","B","","B","A","","","A"
"8f6fe4e","","","","","","",""
"e88c741","","","","","","",""
"e73b255","","","","","","",""
"e928aa4","","","","","","",""
"ea8c0d6","C","","C","A","","","A"
"0fb7584","","","","","","",""
"527d11d","C","","C","C","","","C"
"e4aa5eb","","","","","","",""
"64155b9","C","","C","B","","","B"
"d35583d","","","","","","",""
"ce1d155","A","","A","C","","","C"
"c6d68df","","","","","","",""
"5769925","","","","","","",""
"730747e","C","","C","C","","","C"
"be94a32","B","","B","C","","","C"
"b716a75","","","","","","",""
"277dd85","","","","","","",""
"41011fc","","","","","","",""
"6f1360e","A","","A","A","","","A"
"435e788","","","","","","",""
"5b2f970","","","","","","",""
"49bd7ab","B","","B","A","","","A"
"47eea0f","","","","","","",""
"99ee852","B","","B","B","A","","A"
"ac42d69","B","","B","A","","","A"
"fb6ca94","C","","C","C","","","C"
"c0b0b8d","","","","","","",""
"d0c28bd","","","","","","",""
"f72baab","","","","","","",""
"7de2a3d","B","","B","C","","","C"
"0a30844","B","","B","B","","","B"
"16c851e","","","","","","",""
"374ecf8","A","","A","C","B","","B"
"6b36bf5","B","","B","A","","","A"
"a12b731","","","","","","",""
"f84d8ce","","","","","","",""
"3a03bea","A","","A","C","A","","A"
"56191c0","A","","A","A","","","A"
"cb28371","A","","A","C","","","C"
"dee5269","B","","B","A","","","A"
"45dcec0","","","","","","",""
"fa86f6c","","","","","","",""
"2535794","","","","","","",""
"c09d25e","","","","","","",""
"e2447f7","","","","","","",""
"fa6a8b8","A","","A","A","","","A"
"f6ffd76","B","","B","A","","","A"
"5f84339","B","","B","B","","","B"
"0d5233e","C","","C","A","","","A"
"f11e43a","","","","","","",""
"916c172","A","","A","B","","","B"
"5883800","","","","","","",""
"f578367","","","","","","",""
"43c977d","A","","A","A","","","A"
"1d235c1","A","","A","A","","","A"
"4c228f6","A","","A","A","","","A"
"755e429","","","","","","",""
"022a3c8","","","","","","",""
"d524668","","","","","","",""
"844fef2","C","","C","A","","","A"
"e3983fc","","","","","","",""
"29d5c2d","","","","","","",""
"c8e93ba","","","","","","",""
"35c93ab","","","","","","",""
"36b4ec5","B","","B","A","","","A"
"3883e37","B","","B","A","","","A"
"50ec1c5","B","","B","A","","","A"
"e0e4f04","","","","","","",""
"6801018","A","","A","C","","","C"
"e1b193b","B","","B","B","","","B"
"12dfda3","A","","A","A","","","A"
"431a1f2","","","","","","",""
"466a0ab","C","","C","C","","","C"
"b93f60e","","","","","","",""
"98b4423","","","","","","",""
"965ec7c","","","","","","",""
"1d3b63b","","","","","","",""
"6099d06","B","","B","A","","","A"
"814517e","B","","B","A","","","A"
"56ee475","C","","C","B","","","B"
"e845b6b","B","","B","A","","","A"
"3458a8b","","","","","","",""
"047f2ca","B","","B","B","","","B"
"a80b75d","B","","B","C","","","C"
"1b1a108","","","","","","",""
"dbef0f1","","","","","","",""
"5d2b358","B","A","A","A","","","A"
"c36bc4b","","","","","","",""
"f2e6813","","","","","","",""
"173b4d2","","","","","","",""
"98ecb86","A","","A","B","","","B"
"bf3dfcf","C","B","B","A","","","A"
"b75259d","C","","C","A","","","A"
"b5edd3c","A","","A","A","","","A"
"dbe3880","B","","B","A","","","A"
"d27b032","B","","B","A","","","A"
"5ba2fe6","A","","A","B","","","B"
"e6d310e","B","","B","A","","","A"
"0e42357","C","","C","A","","","A"
"5d4fcbe","A","","A","A","","","A"
"e98cdcd","B","","B","A","","","A"
"3129a5f","","","","","","",""
"3c60f14","","","","","","",""
"fbc9f8e","","","","","","",""
"e2517d9","C","","C","B","","","B"
"4eff6be","B","","B","A","","","A"
"d886e8c","","","","","","",""
"518e9b8","A","","A","A","","","A"
"0ff20c2","A","","A","A","","","A"
"47dcadc","A","","A","A","","","A"
"168adfc","","","","","","",""
"1883ca0","A","","A","A","","","A"
"37b9a9f","B","","B","B","","","B"
"44c4439","","","","","","",""
"d8c6137","","","","","","",""
"cde024d","","","","","","",""
"41f497c","A","","A","A","","","A"
"9cfbb83","A","","A","A","","","A"
