"","yo_1","yo_2","yo_final","otro_1","otro_2","otro_final"
"d0c28bd","","","","","",""
"f72baab","","","","","",""
"7de2a3d","B","","B","C","","C"
"0a30844","A","","A","A","","A"
"16c851e","","","","","",""
"374ecf8","A","","A","A","","A"
"6b36bf5","A","","A","A","","A"
"a12b731","","","","","",""
"f84d8ce","","","","","",""
"3a03bea","A","","A","A","","A"
"56191c0","B","","B","A","","A"
"cb28371","C","","C","C","","C"
"dee5269","B","","B","A","","A"
"45dcec0","","","","","",""
"fa86f6c","","","","","",""
"2535794","","","","","",""
"c09d25e","","","","","",""
"e2447f7","","","","","",""
"fa6a8b8","A","","A","A","","A"
"f6ffd76","A","","A","A","A","A"
"5f84339","A","","A","A","","A"
"0d5233e","A","","A","A","","A"
"f11e43a","","","","","",""
"916c172","B","","B","A","","A"
"5883800","","","","","",""
"f578367","","","","","",""
"43c977d","A","","A","B","","B"
"1d235c1","A","","A","A","","A"
"4c228f6","A","","A","A","","A"
"755e429","","","","","",""
"022a3c8","","","","","",""
"d524668","","","","","",""
"844fef2","A","","A","A","","A"
"e3983fc","","","","","",""
"29d5c2d","","","","","",""
"c8e93ba","","","","","",""
"35c93ab","","","","","",""
"36b4ec5","B","","B","A","","A"
"3883e37","C","","C","A","","A"
"50ec1c5","A","","A","A","","A"
"e0e4f04","","","","","",""
"6801018","B","","B","A","","A"
"e1b193b","B","","B","B","","B"
"12dfda3","C","","C","B","","B"
"431a1f2","","","","","",""
"466a0ab","A","","A","A","","A"
"b93f60e","","","","","",""
"98b4423","","","","","",""
"965ec7c","C","","C","B","","B"
"1d3b63b","","","","","",""
"6099d06","A","","A","A","","A"
"814517e","A","","A","A","","A"
"56ee475","A","","A","A","","A"
"e845b6b","A","","A","A","","A"
"3458a8b","","","","","",""
"047f2ca","A","","A","A","","A"
"a80b75d","B","","B","B","","B"
"1b1a108","","","","","",""
"dbef0f1","","","","","",""
"5d2b358","A","","A","A","","A"
"c36bc4b","","","","","",""
"f2e6813","","","","","",""
"173b4d2","","","","","",""
"98ecb86","A","","A","C","","C"
