"","yo_1","yo_2","yo_final","otro_1","otro_2","otro_final"
"1116780","","","","","",""
"7018506","","","","","",""
"dea26ad","","","","","",""
"1f77294","","","","","",""
"aa3e305","","","","","",""
"498b325","","","","","",""
"c4e8c1a","","","","","",""
"e892cd4","","","","","",""
"e30a541","","","","","",""
"f496964","","","","","",""
"ac6ecda","","","","","",""
"b8ec123","","","","","",""
"80b4cbf","","","","","",""
"99775ba","C","","C","B","","B"
"e246307","","","","","",""
"bd305b8","","","","","",""
"32980f8","","","","","",""
"8c6e198","","","","","",""
"31e12d6","","","","","",""
"4a0236d","","","","","",""
"e1efd4f","","","","","",""
"80e625f","","","","","",""
"170bd80","","","","","",""
"28e0968","","","","","",""
"89bbcd3","","","","","",""
"4306a35","","","","","",""
"32851d2","","","","","",""
"11892fd","","","","","",""
"a984aad","","","","","",""
"7a0eabe","","","","","",""
"17b5a6e","","","","","",""
"7d9a43d","","","","","",""
"a975113","","","","","",""
"9f79cf4","","","","","",""
"e8a0b7a","","","","","",""
"b068203","","","","","",""
"3317f09","","","","","",""
"39dc9b8","","","","","",""
"8fd863f","","","","","",""
"7384692","","","","","",""
"839a53c","","","","","",""
"4828266","","","","","",""
"e0111ac","","","","","",""
"8fe0c53","","","","","",""
"b12b978","","","","","",""
"6067843","","","","","",""
"0514a07","","","","","",""
"942d694","","","","","",""
"9a1b5fa","","","","","",""
"fffd3b6","","","","","",""
"619e952","C","","C","C","","C"
"485801f","","","","","",""
"a0bd77e","","","","","",""
"492238f","","","","","",""
"37798a6","","","","","",""
"65fc101","","","","","",""
"bba08e8","","","","","",""
"b0e3caa","","","","","",""
"d874e84","","","","","",""
"060cd49","","","","","",""
"4bb7fd2","","","","","",""
"2d5866b","","","","","",""
"db844b1","","","","","",""
"eccfff0","","","","","",""
"8f6fe4e","","","","","",""
"e88c741","","","","","",""
"e73b255","","","","","",""
"e928aa4","","","","","",""
"ea8c0d6","C","","C","C","","C"
"0fb7584","","","","","",""
"527d11d","","","","","",""
"e4aa5eb","","","","","",""
"64155b9","","","","","",""
"d35583d","","","","","",""
"ce1d155","","","","","",""
"c6d68df","","","","","",""
"5769925","","","","","",""
"730747e","B","","B","A","","A"
"be94a32","","","","","",""
"b716a75","","","","","",""
"277dd85","","","","","",""
"41011fc","","","","","",""
"6f1360e","","","","","",""
"435e788","","","","","",""
"5b2f970","","","","","",""
"49bd7ab","","","","","",""
"47eea0f","","","","","",""
"99ee852","C","","C","C","","C"
"ac42d69","C","","C","C","","C"
"fb6ca94","","","","","",""
