"","yo_1","yo_2","yo_final","otro_1","otro_2","otro_final"
"7c9678a","C","","C","C","","C"
"facfe1c","","","","","",""
"e51496b","C","","C","C","","C"
"6bf803f","B","C","C","C","","C"
"6c8906b","C","","C","C","","C"
"af1ec0b","C","B","B","C","","C"
"db0051d","C","","C","C","","C"
"4569a12","C","C","C","C","","C"
"c810da6","C","","C","B","","B"
"18b736b","","","","","",""
"87e086c","C","","C","C","","C"
"7c7ee1e","C","","C","B","","B"
"cc02471","C","","C","C","","C"
"e3ae59a","C","","C","C","","C"
"b90cecc","","","","","",""
"35adcf1","B","","B","B","","B"
"bf983ba","B","","B","B","","B"
"672a06a","","","","","",""
"fc4adfc","C","","C","B","","B"
"78603ec","B","","B","C","","C"
"6245828","C","","C","C","","C"
"c845818","","","","","",""
"3b65cc8","C","","C","C","","C"
"b0a2535","","","","","",""
"a412254","C","","C","C","","C"
"1c202a8","C","","C","C","","C"
"ad2af75","","","","","",""
"d8ecf99","A","","A","A","","A"
"c28b1a9","C","","C","B","C","C"
"b05306f","","","","","",""
"826fbf5","","","","","",""
"817282d","C","","C","C","","C"
"45b5efa","","","","","",""
"d0c20cf","C","","C","C","","C"
"addf295","B","","B","A","","A"
"e5bb5fe","B","","B","C","","C"
"a3ff1ab","C","","C","C","","C"
"79868cd","B","","B","C","","C"
"9bcb545","C","","C","C","","C"
"912afde","B","","B","A","","A"
"7b5fed8","","","","","",""
"d85b5c4","A","","A","A","","A"
"1ac925b","","","","","",""
"20f3e2e","B","","B","B","","B"
"c16eb71","C","","C","C","","C"
"a83d90e","","","","","",""
"b7a265d","B","","B","B","","B"
"50efa5d","","","","","",""
"1116780","C","","C","C","","C"
"7018506","C","","C","C","","C"
"dea26ad","","","","","",""
"1f77294","C","","C","B","","B"
"aa3e305","C","","C","C","","C"
"498b325","","","","","",""
"c4e8c1a","","","","","",""
"e892cd4","B","","B","C","","C"
"e30a541","","","","","",""
"f496964","C","","C","C","","C"
"ac6ecda","C","","C","C","","C"
"b8ec123","B","","B","B","","B"
"80b4cbf","","","","","",""
"99775ba","C","","C","B","","B"
"e246307","","","","","",""
"bd305b8","C","","C","C","","C"
"32980f8","C","","C","C","","C"
"8c6e198","C","","C","C","","C"
"31e12d6","","","","","",""
"4a0236d","B","","B","C","","C"
"e1efd4f","","","","","",""
"80e625f","C","","C","C","","C"
"170bd80","C","","C","C","","C"
"28e0968","B","","B","C","","C"
"89bbcd3","B","","B","C","","C"
"4306a35","","","","","",""
"32851d2","C","","C","C","","C"
"11892fd","C","","C","C","","C"
"a984aad","B","","B","B","","B"
"7a0eabe","B","","B","C","","C"
"17b5a6e","C","","C","C","","C"
"7d9a43d","C","","C","C","","C"
"a975113","B","","B","A","","A"
"9f79cf4","B","","B","A","","A"
"e8a0b7a","C","","C","C","","C"
"b068203","C","","C","C","","C"
"3317f09","","","","","",""
"39dc9b8","B","","B","A","","A"
"8fd863f","C","","C","C","","C"
"7384692","C","","C","C","","C"
"839a53c","","","","","",""
"4828266","C","","C","C","","C"
"e0111ac","","","","","",""
"8fe0c53","","","","","",""
"b12b978","","","","","",""
"6067843","C","","C","C","","C"
"0514a07","C","","C","C","","C"
"942d694","C","","C","C","","C"
"9a1b5fa","C","","C","C","","C"
"fffd3b6","","","","","",""
"619e952","C","","C","C","","C"
"485801f","B","","B","A","","A"
"a0bd77e","C","","C","B","","B"
"492238f","C","","C","B","","B"
"37798a6","B","","B","B","","B"
"65fc101","C","","C","C","","C"
"bba08e8","","","","","",""
"b0e3caa","B","","B","C","","C"
"d874e84","B","","B","A","","A"
"060cd49","C","","C","C","","C"
"4bb7fd2","C","","C","C","","C"
"2d5866b","","","","","",""
"db844b1","C","","C","B","","B"
"eccfff0","C","","C","C","","C"
"8f6fe4e","C","","C","A","","A"
"e88c741","","","","","",""
"e73b255","B","","B","A","","A"
"e928aa4","","","","","",""
"ea8c0d6","C","","C","B","","B"
"0fb7584","","","","","",""
"527d11d","C","","C","C","","C"
"e4aa5eb","","","","","",""
"64155b9","C","","C","C","","C"
"d35583d","","","","","",""
"ce1d155","B","","B","A","","A"
"c6d68df","C","","C","C","","C"
"5769925","","","","","",""
"730747e","C","","C","C","","C"
"be94a32","C","","C","C","","C"
"b716a75","C","","C","A","","A"
"277dd85","B","","B","B","","B"
"41011fc","C","","C","A","","A"
"6f1360e","C","","C","C","","C"
"435e788","C","","C","C","","C"
"5b2f970","B","","B","B","","B"
"49bd7ab","C","","C","C","","C"
"47eea0f","C","","C","C","","C"
"99ee852","C","","C","C","","C"
"ac42d69","C","","C","C","","C"
"fb6ca94","C","","C","C","","C"
"c0b0b8d","B","","B","C","","C"
"d0c28bd","","","","","",""
"f72baab","","","","","",""
"7de2a3d","C","","C","C","","C"
"0a30844","C","","C","C","","C"
"16c851e","","","","","",""
"374ecf8","B","","B","C","","C"
"6b36bf5","C","","C","B","","B"
"a12b731","C","","C","C","","C"
"f84d8ce","B","","B","C","","C"
