"","genere","edat","pp","pp_v","pp_v_g","pp_bf","pp_bef","pp_bel","pp_bev","pp_bec","pp_bes","pp_bea","p_cuid","p_c","p_c_si","p_f","p_f_si","p_a","p_a_si","p_l","p_l_si","p_v","p_v_si","p_ac","p_ac_si","p_g1","p_g2","p_ass","p_prof","p_prof_si","country_alpha2","urban_rural","is_in_Catalonia","language"
"56dc5c6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"05ed313","m","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ES","",False,"es"
"969fd46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"11acd26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"de"
"844ab34","f","4","Sí","No","","b","b","a","b","b","a","a","Sí","No","","No","","Sí","a","Sí","a","No","","No","","a","a","Sí","Sí","apasa","ES","rural",True,"ca"
"0327530","m","4","No","","","","","","","","","","No","No","","No","","Sí","b","Sí","b","nvr","","No","","b","b","No","No","","ES","urban",True,"ca"
"088d8b4","f","4","No","","","","","","","","","","Sí","No","","Sí","a","No","","Sí","m","Sí","b","nvr","","a","a","Sí","Sí","psm","ES","urban",True,"ca"
"a300755","f","5","Sí","Sí","a","m","m","m","nsdmp","b","m","m","No","No","","No","","No","","Sí","b","No","","No","","b","b","No","No","","ES","urban",True,"ca"
"f0a4194","m","1","No","","","","","","","","","","No","Sí","m","Sí","b","Sí","m","No","","nvr","","No","","m","a","No","No","","ES","urban",True,"ca"
"6eb7840","f","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ES","",False,"es"
"07b298c","f","3","Sí","Sí","a","a","a","m","m","nsdmp","a","a","Sí","Sí","a","Sí","a","Sí","b","Sí","a","nvr","","nvr","","a","a","Sí","Sí","apaso","ES","urban",True,"ca"
"b164bf7","m","4","Sí","Sí","m","m","m","b","b","m","m","m","No","No","","Sí","m","No","","No","","No","","No","","m","m","No","No","","ES","urban",True,"ca"
"aa9ac00","f","1","Sí","Sí","m","m","m","b","nsdmp","nsdmp","b","m","No","No","","No","","Sí","m","No","","No","","nvr","","m","b","No","nvr","","ES","rural",True,"ca"
