"","genere","edat","pp","pp_v","pp_v_g","pp_bf","pp_bef","pp_bel","pp_bev","pp_bec","pp_bes","pp_bea","p_cuid","p_c","p_c_si","p_f","p_f_si","p_a","p_a_si","p_l","p_l_si","p_v","p_v_si","p_ac","p_ac_si","p_g1","p_g2","p_ass","p_prof","p_prof_si","country_alpha2","urban_rural","is_in_Catalonia","language"
"f9b9236","f","3","Sí","Sí","m","m","a","a","m","nvr","m","a","No","Sí","a","No","","Sí","a","No","","nvr","","nvr","","a","a","Sí","No","","ES","urban",True,"ca"
"6c8f107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"959908d","f","3","No","","","","","","","","","","No","No","","Sí","b","No","","Sí","b","No","","No","","b","b","Sí","Sí","apaso","ES","urban",True,"ca"
"7cf831f","f","5","Sí","Sí","m","b","b","b","nsdmp","b","b","m","Sí","Sí","a","No","","Sí","m","Sí","b","Sí","b","Sí","b","m","b","Sí","No","","ES","urban",True,"ca"
"152aa4d","f","1","Sí","Sí","a","a","m","nsdmp","nsdmp","nsdmp","m","a","No","No","","No","","nvr","","nvr","","nvr","","nvr","","a","","No","No","","DE","",False,"de"
"4997357","f","3","Sí","Sí","b","m","m","nsdmp","nsdmp","nsdmp","nsdmp","m","No","Sí","m","Sí","b","No","","No","","No","","No","","b","b","No","No","","ES","urban",True,"es"
"390c370","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"0975113","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"145d339","f","5","Sí","Sí","m","nsdmp","m","nsdmp","nsdmp","nsdmp","nsdmp","b","No","No","","Sí","b","Sí","b","No","","nvr","","No","","b","b","No","No","","ES","urban",True,"ca"
"9ff15be","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"c97639e","f","4","No","","","","","","","","","","Sí","Sí","m","Sí","m","Sí","b","Sí","a","No","","No","","a","b","Sí","Sí","psm","ES","urban",True,"ca"
"d3e37eb","m","6","nvr","","","","","","","","","","Sí","Sí","a","Sí","m","Sí","b","nvr","","Sí","b","Sí","m","b","b","No","No","","ES","urban",True,"ca"
"0fd9ca7","f","4","No","","","","","","","","","","No","No","","Sí","b","No","","Sí","b","Sí","b","No","","b","b","No","Sí","apasa","ES","rural",True,"es"
"2d90b99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"024f546","f","1","Sí","Sí","a","m","a","nt","nsdmp","m","b","a","No","No","","Sí","b","Sí","a","nvr","","nvr","","No","","b","m","Sí","Sí","psm","ES","urban",True,"ca"
"190aebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"4a92bfd","m","4","Sí","Sí","m","m","b","nsdmp","nsdmp","nsdmp","b","m","No","No","","No","","No","","No","","No","","No","","a","","No","No","","ES","",False,"es"
"388a24f","f","4","Sí","Sí","a","a","a","m","b","b","a","m","No","No","","Sí","a","No","","No","","No","","No","","a","","","","","ES","urban",True,"ca"
"c2d349a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
