"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","7_otro_1","2_1"
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e65bef7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e5bb5fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fcf59af","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-236.0670907497406,"unknown",-230.02075481414795,-222.8590235710144,0.0,7.439192056655884,10.522492170333862,18.83199644088745,27.259705781936646,33.86461639404297,36.124802350997925,"unknown","unknown",42.173227071762085,47.97585153579712,61.0512170791626,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",66.8156681060791,"","unknown",72.61370539665222,75.86742639541626,"unknown","unknown",82.51546216011047,89.09841346740723,93.43724489212036,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",99.20186018943787,"unknown","unknown",105.49908685684204,"",""
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5a20153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f",-3400.9544756412506,"unknown",-3394.1375210285187,-3387.9536571502686,0.0,6.799662113189697,44.67420840263367,51.929831743240356,70.69366788864136,77.87054705619812,88.52749061584473,"unknown","unknown",94.85029339790344,102.06720352172852,105.92054986953735,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",111.69142007827759,"","unknown",118.00579690933228,124.68832230567932,131.20233297348022,"unknown","unknown",137.5193223953247,139.84340810775757,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",146.98021292686462,"unknown","unknown",153.1635069847107,"",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2949a28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-31139.250794649124,"unknown",-31133.468001127243,-31127.653183460236,0.0,7.300335884094238,11.059995412826538,18.413071632385254,31.74749207496643,38.53627610206604,42.179200887680054,"unknown","unknown",49.17911243438721,55.117891788482666,57.97995185852051,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.63527321815491,"","unknown",71.70358562469482,74.92114806175232,"unknown","unknown",80.2131724357605,85.67684674263,87.60408902168274,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",94.12478280067444,"unknown","unknown",99.7269856929779,"",""
