"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","5_otro_1"
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-5012.432158231735,"unknown",-5006.524075269699,-5000.177305698395,0.0,5.311343669891357,10.41732406616211,17.523841857910156,35.75914239883423,42.008344650268555,49.65347170829773,"unknown",56.09109973907471,"unknown",63.2243447303772,68.84841775894165,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",74.22190642356873,"","unknown",80.64496684074402,85.90295648574829,91.19167876243591,"unknown","unknown",97.7178475856781,100.75020718574524,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",107.99240779876709,"unknown","unknown",115.00212383270264,"",""
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-1085.5797216892242,"unknown",-1079.8451693058014,-1074.0375027656555,0.0,6.703709602355957,8.959304332733154,14.287720680236816,35.37259006500244,42.61530780792236,44.817028760910034,50.5666823387146,"unknown","unknown",56.40182542800903,58.16072058677673,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.57248258590698,"","unknown",69.92745018005371,72.02729630470276,77.99069786071777,"unknown","unknown",84.98488688468933,86.7457525730133,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",92.68927884101868,"unknown","unknown",99.36456418037415,"",""
"2dffb9e",-16.054685592651367,"unknown",-10.713746547698975,-4.835406064987183,0.0,5.738882541656494,8.629558086395264,14.564147472381592,44.51872754096985,51.06162667274475,58.04100489616394,64.78228259086609,"unknown","unknown",71.39279913902283,73.08340668678284,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",80.27544355392456,"","unknown",87.06792712211609,91.0459418296814,97.49827647209167,"unknown","unknown",104.50654721260071,107.8069019317627,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",114.1777560710907,"unknown","unknown",120.25874090194702,"",""
"7a35b75",-1135.907828092575,"unknown",-1129.3756709098816,-1123.3844754695892,0.0,6.088361740112305,12.277974367141724,18.40474510192871,44.089359998703,49.75477433204651,53.10857892036438,"unknown","unknown",59.104660749435425,64.5611891746521,66.49498009681702,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",73.0610101222992,"","unknown",78.81214666366577,82.1089220046997,"unknown",88.68948245048523,"unknown",95.36506295204163,98.44381427764893,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",105.16157841682434,"unknown","unknown",112.23079252243042,"",""
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1116780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471",-17498.601885795593,"unknown",-17492.182500123978,-17484.867052078247,0.0,5.548082113265991,11.47106122970581,20.928123712539673,3716610.355338812,3716617.0752067566,3716670.6040279865,"unknown","unknown",3716677.7551944256,3716683.988909006,3716685.8754935265,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",3716693.160945654,"","unknown",3716699.0951828957,3716703.7919142246,3716710.6138544083,"unknown","unknown",3716716.5228233337,3716719.728152275,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",3716726.8171298504,"unknown","unknown",3716733.1749544144,"",""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63",-4612.783657550812,"unknown",-4606.096034049988,-4599.806472301483,0.0,5.417990684509277,8.750631332397461,14.10818600654602,46.50105905532837,52.304259300231934,56.85207414627075,"unknown",63.442270278930664,"unknown",70.25419521331787,77.46353602409363,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",83.78302025794983,"","unknown",89.09587860107422,93.8913221359253,100.63835120201111,"unknown","unknown",107.42389225959778,109.51178407669067,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",114.93322658538818,"unknown","unknown",120.88673377037048,"",""
