"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","4_1"
"1a8e45b",-113886.17705726624,"unknown",-113879.53208732605,-113873.27974009514,0.0,6.670799732208252,8.634383916854858,16.0991952419281,27.797614812850952,34.939226388931274,38.19216227531433,"unknown","unknown",44.60097694396973,51.510329723358154,52.858598709106445,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",59.76300668716431,"unknown",66.1844367980957,68.5399317741394,75.59199738502502,"unknown","unknown",81.18084526062012,82.68790912628174,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",89.95356678962708,"unknown","unknown",96.89962029457092,""
"0e42357","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3",-3078600.2708415985,"unknown",-3078594.6991615295,-3078588.510257244,0.0,7.232120037078857,12.314024209976196,21.131615161895752,62.127817153930664,68.93222379684448,89.73522329330444,"unknown","unknown",95.92684412002563,102.71482992172241,104.3627347946167,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",110.31523060798645,"unknown",116.50348615646362,128.4608964920044,134.3999524116516,"unknown","unknown",140.08370304107666,141.4740777015686,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",148.0942521095276,"unknown","unknown",154.07457995414734,""
"8ec15bc",-61151.5923101902,"unknown",-61144.170763254166,-61137.08906507492,0.0,5.670515775680542,8.923720121383667,17.292795181274414,37.674347162246704,44.73310875892639,46.205260276794434,"unknown",52.55571889877319,"unknown",59.441747426986694,71.77163195610046,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",78.44718885421753,"unknown",83.69472455978394,92.52955389022827,"unknown",98.12654280662537,"unknown",104.0200264453888,106.62855529785156,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",113.10007238388062,"unknown","unknown",120.25132584571838,""
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e51496b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01baaf6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e8a0b7a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6c3f0f6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1f77294","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6f1360e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1e17723","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f",-53851.932938337326,"unknown",-53846.012278556824,-53839.19991350174,0.0,7.074425220489502,12.271236896514893,19.639246940612793,70.8410873413086,76.90805864334106,84.28593826293945,"unknown","unknown",90.82862973213196,97.55100750923157,103.77084040641785,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",109.91561889648438,"unknown",116.12924647331238,144.5925920009613,"unknown","unknown",151.22872710227966,158.13519954681396,950.2364225387573,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",956.4477107524872,"unknown","unknown",963.4453721046448,""
"a300755","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"802d704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e892cd4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b06ee97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"758fff8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
