"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"2dffb9e",-1389.2790563106537,"unknown",-1382.24716258049,-1376.5940690040588,0.0,6.5120532512664795,11.330511569976807,19.40093231201172,28.079296350479126,33.53724932670593,38.08000922203064,"unknown","unknown",44.705930948257446,51.876821994781494,53.901732206344604,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",60.733514070510864,"unknown",66.09542202949524,73.12694048881531,80.44407653808594,"unknown","unknown",86.29753279685974,89.15401077270508,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",95.8509509563446,"unknown","unknown",102.4227843284607,""
"7a35b75",-1617.3145115375519,"unknown",-1611.113513469696,-1604.5835971832275,0.0,5.825239181518555,56.307307720184326,65.43210339546204,79.32071566581726,86.55465269088745,89.94829273223877,"unknown","unknown",95.4803307056427,101.3016288280487,106.3222804069519,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",112.43287968635559,"unknown",118.87171483039856,144.3345935344696,"unknown","unknown",151.61841821670532,156.9416046142578,167.24464201927185,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",173.1585021018982,"unknown","unknown",178.76920127868652,""
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1116780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"870dc60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-8996.213975906372,"unknown",-8990.486603736877,-8984.86152267456,0.0,6.434686899185181,10.696008443832397,18.817320585250854,25.57455539703369,32.600810527801514,38.46323823928833,"unknown","unknown",45.57065010070801,52.33754348754883,54.11519384384155,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",60.44709253311157,"unknown",67.22692060470581,69.03524088859558,75.90911388397217,"unknown","unknown",81.6650710105896,83.60003018379211,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",89.82183313369751,"unknown","unknown",96.30898475646973,""
"0e42357","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ec15bc",-15.453131675720215,"unknown",-9.099470853805542,-1.869788408279419,0.0,5.95820951461792,8.2292640209198,15.126163482666016,19.92354679107666,26.111274480819702,33.62692308425903,"unknown","unknown",39.213778018951416,44.51702904701233,51.32184457778931,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",56.99927830696106,"unknown",63.490736961364746,15449.409166574478,"unknown","unknown",15455.392534732819,15462.038976192474,15466.12764954567,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",15472.424830436707,"unknown","unknown",15479.472980499268,""
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e51496b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01baaf6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e8a0b7a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6c3f0f6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1f77294","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6f1360e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1e17723","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a300755","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"802d704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e892cd4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b06ee97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"758fff8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac42d69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7bb45d3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7622483","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1f16f74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"730747e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07ff49d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22fdb61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db046f2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73c3f48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3218556","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99ee852","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ad2fc5b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d318264","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"741ef32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b75259d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b67425b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"446ad6c",-3691.227784395218,"unknown",-3684.3123128414154,-3678.770247220993,0.0,7.246260404586792,12.36469030380249,20.554030895233154,134.58383417129517,139.9215612411499,143.49582433700562,"unknown",150.0498194694519,"unknown",156.839759349823,159.33379793167114,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",164.8610076904297,"unknown",170.51077842712402,173.5920925140381,"unknown",180.2668616771698,"unknown",187.14013648033142,370.3303916454315,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",376.7797689437866,"unknown","unknown",382.5536644458771,""
