"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","otro_3","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533",-177322.3642935753,"unknown",-177316.78442716599,-177309.79820370674,0.0,5.82124137878418,11.005841970443726,17.63864016532898,28.642598628997803,36.02534580230713,40.38275170326233,"unknown","unknown",46.85391926765442,53.139387369155884,530.8352527618408,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",536.8445982933044,"","unknown",543.533849477768,558.5764117240906,"unknown","unknown",565.038825750351,571.6532340049744,573.9847402572632,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",579.8982739448547,"unknown","unknown",586.0783593654633
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530",-828836.63052845,"unknown",-828830.8448324203,-828825.1112015247,0.0,6.476478576660156,13.299806118011475,19.47984528541565,36.22444248199463,42.66575574874878,75.26116847991943,"unknown","unknown",82.01635646820068,89.38221049308777,91.22318387031555,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",97.10896682739258,"","unknown",102.7409896850586,108.91309833526611,115.95704460144043,"unknown","unknown",122.07572364807129,123.93949508666992,131.0937352180481,155.94134521484375,"unknown",161.45807576179504,"unknown",167.3992977142334,179.3638710975647,185.0262086391449,188.11630940437317,"unknown","unknown",195.10922026634216,"unknown","unknown",202.59167790412903,208.69862866401672
"47dcadc",-84492.84720134735,"unknown",-84486.25695014,-84479.32185435295,0.0,6.409304857254028,12.384264945983887,18.885961532592773,40.931997776031494,47.78398656845093,54.18753266334534,"unknown","unknown",60.356552600860596,66.6138277053833,69.79533433914185,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",75.29631733894348,"","unknown",81.0104033946991,85.90326046943665,91.83420991897583,"unknown","unknown",98.79446148872375,102.5683228969574,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",108.16268920898438,"unknown","unknown",114.32433152198792
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e65bef7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e5bb5fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fcf59af","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-1028.311491727829,"unknown",-1021.5139286518097,-1014.7264926433563,0.0,6.684187412261963,10.120418548583984,16.102601289749146,18.723493814468384,25.10700821876526,40.06832480430603,"unknown","unknown",46.36002850532532,52.78601408004761,55.75171232223511,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",61.62368202209473,"","unknown",67.03535985946655,79.63641571998596,"unknown","unknown",87.09060716629028,92.56867122650146,94.46194243431091,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",99.779137134552,"unknown","unknown",105.3777334690094
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5a20153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f",-82238.43730568886,"unknown",-82232.60999393463,-82227.09990859032,0.0,6.838260173797607,12.016332626342773,18.07455587387085,37.950966358184814,43.238436460494995,66.48429465293884,73.1467113494873,"unknown","unknown",79.70076942443848,82.79868412017822,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",89.42343211174011,"","unknown",96.17831802368164,104.38123321533203,110.45651936531067,"unknown","unknown",115.95658731460571,118.5841908454895,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",124.95390820503235,"unknown","unknown",131.54962062835693
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2949a28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-21423.961644649506,"unknown",-21417.243416070938,-21411.443546772003,0.0,6.276603937149048,15.978363752365112,22.77181887626648,44.436920404434204,49.85133600234985,57.30757737159729,64.32401156425476,"unknown","unknown",71.36993050575256,84.76734614372253,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",90.61957001686096,"","unknown",96.15894842147827,101.0080041885376,106.40428376197815,"unknown","unknown",113.1566367149353,118.79659461975098,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",125.925057888031,"unknown","unknown",131.30596494674683
"50a0fdd",-39.308045864105225,"unknown",-32.96893906593323,-26.9345486164093,0.0,7.103037118911743,12.43540334701538,19.48536252975464,31.390701055526733,37.13595104217529,56.705742835998535,"unknown","unknown",63.98729062080383,69.52329921722412,71.9429407119751,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",78.17513465881348,"","unknown",85.20193290710449,97.91416430473328,"unknown","unknown",104.75621104240417,110.59501647949219,112.74750852584839,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",118.97927117347717,"unknown","unknown",125.65492343902588
