"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-21846.78347158432,"unknown",-21841.193712472916,-21834.93101143837,0.0,6.18374228477478,13.198997735977173,19.70366096496582,36.48255753517151,42.73978328704834,50.67956590652466,"unknown",57.10254645347595,"unknown",62.245357036590576,64.40987586975098,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",70.73802828788757,"unknown",76.40602469444275,82.3455696105957,"unknown","unknown",87.99590158462524,94.00653982162476,99.7262704372406,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",105.00173950195312,"unknown","unknown",110.77296495437622,""
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81",-102384.26503396034,"unknown",-102377.58929204941,-102371.51217675209,0.0,6.206197738647461,8.629242420196533,14.919979810714722,33.37685585021973,40.441508054733276,63.121062994003296,"unknown","unknown",68.93865394592285,74.35932111740112,88.04311323165894,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",94.04069137573242,"unknown",100.53525686264038,104.35412192344666,"unknown","unknown",110.991868019104,117.49505257606506,119.39730906486511,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",126.41087818145752,"unknown","unknown",132.16886734962463,""
"bf983ba",-1562.491618156433,"unknown",-1556.888168334961,-1550.9211127758026,0.0,6.760202646255493,16.478106260299683,23.598828315734863,461.58750796318054,467.4620289802551,474.1999170780182,479.72373700141907,"unknown","unknown",486.9422059059143,489.47135305404663,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",494.93079257011414,"unknown",500.23787474632263,633.2424063682556,640.6036109924316,"unknown","unknown",646.6912267208099,649.1095285415649,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",655.443368434906,"unknown","unknown",662.0915987491608,""
"a80b75d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
