"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","4_1","5_otro_1","3_1","7_otro_1"
"c28b1a9","unknown","unknown","unknown","unknown",0.0,"unknown",11.796706438064575,"unknown",34.97057390213013,"unknown",45.99767470359802,"unknown","unknown","unknown","unknown",66.49627828598022,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",84.88071155548096,"unknown","unknown","unknown","unknown",102.68156909942627,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"402df77",-1012.1039571762085,"unknown",-1005.3638377189636,-999.9139995574951,0.0,6.226991176605225,13.196767091751099,20.278615474700928,28.593421936035156,35.88546800613403,41.56572961807251,"unknown",47.10020136833191,"unknown",52.388712644577026,54.959919929504395,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",60.69468855857849,"","unknown",67.79473066329956,79.60195088386536,"unknown",86.58592987060547,"unknown",93.10721969604492,94.44946908950806,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",101.68062400817871,"unknown","unknown",107.99176120758057,"","","","",""
"7384692",-754931.2864356041,"unknown",-754925.3184907436,-754918.2925477028,0.0,6.835748910903931,15.451364994049072,24.237364053726196,43.79164528846741,49.44658803939819,72.70013499259949,"unknown",79.38554048538208,"unknown",86.66125702857971,88.6225106716156,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",94.36128449440002,"","unknown",100.45347094535828,120.13383436203003,127.17157053947449,"unknown","unknown",133.01658391952515,136.95904874801636,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",143.24569034576416,"unknown","unknown",148.52456665039062,"","","","",""
"90ccafb",-1569.9855182170868,"unknown",-1563.656078338623,-1557.4876551628113,0.0,6.655925512313843,11.873241662979126,19.04027795791626,40.93771457672119,46.61985111236572,59.6092746257782,66.25585126876831,"unknown","unknown",72.93871998786926,76.37286376953125,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",82.13367509841919,"","unknown",87.76821637153625,108.13968396186829,114.47642946243286,"unknown","unknown",119.95554637908936,122.48598217964172,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",128.15056109428406,"unknown","unknown",134.92534732818604,"","","","",""
"0327530",-1187.8565125465393,"unknown",-1181.8372795581818,-1175.7420024871826,0.0,6.019392728805542,12.061678171157837,19.391822814941406,79.90871381759644,85.81591081619263,115.61017489433289,122.33345365524292,"unknown","unknown",128.7573962211609,147.5565745830536,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",153.76813220977783,"","unknown",159.1907126903534,176.49824953079224,"unknown",182.04683136940002,"unknown",188.90357971191406,211.82845449447632,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",217.38956880569458,"unknown","unknown",223.34099745750427,"","","","",""
"47dcadc","unknown","unknown","unknown","unknown",0.0,"unknown",18.819718837738037,"unknown",37.000625133514404,"unknown",75.33025193214417,"unknown","unknown","unknown","unknown",101.9974193572998,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",139.40413355827332,"unknown","unknown","unknown","unknown",156.42261934280396,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"233ee90","unknown","unknown","unknown","unknown",0.0,"unknown",27.315001487731934,"unknown",56.1907262802124,"unknown",77.41512036323547,"unknown","unknown","unknown","unknown",110.04476237297058,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",137.30443787574768,"unknown","unknown","unknown","unknown",165.82011318206787,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"db844b1","unknown","unknown","unknown","unknown",0.0,"unknown",11.598199367523193,"unknown",33.472373723983765,"unknown",49.77655220031738,"unknown","unknown","unknown","unknown",64.80601024627686,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",88.12512516975403,"unknown","unknown","unknown","unknown",101.20716142654419,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"e4c0f9c","unknown","unknown","unknown","unknown",0.0,"unknown",11.554369926452637,"unknown",28.58694863319397,"unknown",46.81034207344055,"unknown","unknown","unknown","unknown",61.23384928703308,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",79.86827373504639,"unknown","unknown","unknown","unknown",98.26321697235107,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"fd01af9","unknown","unknown","unknown","unknown",0.0,"unknown",12.15674638748169,"unknown",49.58531594276428,"unknown",74.04748868942261,"unknown","unknown","unknown","unknown",98.22576189041138,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",122.21673250198364,"unknown","unknown","unknown","unknown",136.7101981639862,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
