"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","otro_3","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","2_2","5_otro_1","4_1"
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","unknown","unknown","unknown","unknown",0.0,"unknown",13.544665336608887,"unknown",46.02021551132202,"unknown",71.61728978157043,"unknown","unknown","unknown","unknown",89.28316307067871,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",131.69145441055298,"unknown","unknown","unknown","unknown",286.3913416862488,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"d874e84",-366.3150155544281,"unknown",-360.81512689590454,-353.58333134651184,0.0,6.022185564041138,9.049375295639038,16.602723598480225,59.111239194869995,64.73651933670044,68.30420684814453,"unknown",73.78617024421692,"unknown",80.97075176239014,92.0693724155426,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",99.08385872840881,"","unknown",105.98887515068054,134.05892825126648,141.11100006103516,"unknown","unknown",148.01757407188416,149.43986535072327,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",155.43742322921753,"unknown","unknown",161.80941605567932,"","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","unknown","unknown","unknown","unknown",0.0,"unknown",43.520394802093506,"unknown",2515.8472254276276,"unknown",2527.0007083415985,"unknown","unknown","unknown","unknown",2543.0315659046173,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",2567.3780660629272,"unknown","unknown","unknown","unknown",2583.559095144272,"unknown",2603.169715166092,"unknown","unknown","unknown","unknown",2635.9414772987366,"unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692",-1615093.6418783665,"unknown",-1615087.4902818203,-1615080.6916651726,0.0,7.266491413116455,13.684975624084473,20.79387855529785,44.57842397689819,51.87347745895386,79.24926853179932,"unknown",85.12997078895569,"unknown",91.08723735809326,93.73550391197205,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",100.69327878952026,"","unknown",107.62050127983093,120.04324793815613,"unknown",126.22971248626709,"unknown",132.2135362625122,134.51994466781616,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",141.85515880584717,"unknown","unknown",147.15835785865784,"","","",""
"90ccafb",-591252.65508461,"unknown",-591246.4028103352,-591240.4600803852,0.0,5.893798828125,11.530694723129272,19.12555503845215,42.663984298706055,49.617897510528564,61.13769197463989,"unknown","unknown",66.8070433139801,73.97800421714783,75.73596477508545,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",82.1525011062622,"","unknown",87.80293440818787,93.38988184928894,"unknown","unknown",99.1073522567749,106.39958930015564,107.88196420669556,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",114.2442479133606,"unknown","unknown",119.70038485527039,"","","",""
"0327530",-10558.499007225037,"unknown",-10552.663683652878,-10545.970537662506,0.0,6.397305011749268,13.115690231323242,21.20547866821289,68.5568437576294,75.63833785057068,127.40786290168762,"unknown","unknown",133.51788854599,139.50696396827698,176.0196840763092,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",182.79614996910095,"","unknown",188.3579604625702,213.0132999420166,"unknown","unknown",219.60591006278992,225.10398721694946,229.9840211868286,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",236.2285454273224,"unknown","unknown",242.43379545211792,"","","",""
"47dcadc","unknown","unknown","unknown","unknown",0.0,"unknown",26.817660808563232,"unknown",94.80489015579224,"unknown",126.05691647529602,"unknown","unknown","unknown","unknown",150.64197874069214,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",187.13579773902893,"unknown","unknown","unknown","unknown",210.30281853675842,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
