"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","otro_3","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","2_2","3_1","4_1"
"d874e84",-4696.669543981552,"unknown",-4689.355613231659,-4682.8674149513245,0.0,5.543087959289551,16.942548990249634,25.381815910339355,45.14709234237671,52.17328906059265,93.58302617073059,"unknown",100.8813807964325,"unknown",106.3752670288086,153.33681106567383,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",159.1773669719696,"","unknown",164.51671767234802,168.29335594177246,174.5841941833496,"unknown","unknown",181.3113615512848,243.00603318214417,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",250.25707507133484,"unknown","unknown",255.9759442806244,"","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","unknown","unknown","unknown","unknown",0.0,"unknown",21.136516094207764,"unknown",41.671700954437256,"unknown",59.30460286140442,"unknown","unknown","unknown","unknown",76.43276119232178,"unknown",84.25722122192383,"unknown","unknown","unknown","unknown",99.39436841011047,"unknown","unknown","unknown","unknown","unknown","","unknown","unknown",126.05384016036987,"unknown","unknown","unknown","unknown",140.5506751537323,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692",-1411641.626787424,"unknown",-1411635.5355024338,-1411629.9298112392,0.0,6.164694786071777,14.410399198532104,21.811378479003906,39.3811399936676,46.21658658981323,63.576152324676514,"unknown","unknown",69.46300339698792,75.93042969703674,79.51298952102661,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",85.54489922523499,"","unknown",91.1461284160614,129.58645224571228,"unknown",135.20384669303894,"unknown",141.36741256713867,144.59642457962036,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",150.84732961654663,"unknown","unknown",157.47649025917053,"","","",""
"90ccafb",-1300259.8553357124,"unknown",-1300253.5642294884,-1300247.9269590378,0.0,6.513081789016724,120.01582312583923,128.0286889076233,141.2909219264984,147.0677638053894,161.60301208496094,"unknown",168.366290807724,"unknown",173.88227152824402,176.19498777389526,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",183.01949667930603,"","unknown",189.48437595367432,202.61104035377502,208.23782110214233,"unknown","unknown",214.8157877922058,218.08436369895935,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",224.40847516059875,"unknown","unknown",230.83016157150269,"","","",""
"0327530",-1080.855896949768,"unknown",-1073.6931874752045,-1066.9406743049622,0.0,7.158180236816406,33.84598517417908,42.53714561462402,65.69695377349854,72.06241178512573,116.99746227264404,"unknown","unknown",123.77667880058289,130.19410586357117,133.1431906223297,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",139.72444677352905,"","unknown",146.8221845626831,170.60580158233643,177.59684801101685,"unknown","unknown",183.26073932647705,185.7733132839203,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",192.58383297920227,"unknown","unknown",199.39880394935608,"","","",""
"47dcadc","unknown","unknown","unknown","unknown",0.0,"unknown",18.5223126411438,"unknown",59.34466791152954,"unknown",116.30830192565918,"unknown","unknown","unknown","unknown",136.44025135040283,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",184.30535650253296,"unknown","unknown","unknown","unknown",199.51596689224243,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"233ee90","unknown","unknown","unknown","unknown",0.0,"unknown",10.807721376419067,"unknown",41.20828580856323,"unknown",51.44240736961365,"unknown","unknown","unknown","unknown",65.80805587768555,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",136.54595756530762,"unknown","unknown","unknown","unknown",152.7028923034668,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"db844b1","unknown","unknown","unknown","unknown",0.0,"unknown",11.4518404006958,"unknown",31.384655237197876,"unknown",45.200292110443115,"unknown","unknown","unknown","unknown",59.434484243392944,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",92.99148225784302,"unknown","unknown","unknown","unknown",108.2251889705658,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
