"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","7_otro_1"
"e5bb5fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fcf59af","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-3044.547794818878,"unknown",-3038.7747654914856,-3033.2040832042694,0.0,5.28864598274231,7.367982387542725,13.530778408050537,35.597349643707275,42.24184775352478,47.276490926742554,"unknown","unknown",52.61125683784485,58.88928031921387,61.38912796974182,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.14260649681091,"","unknown",75.16776037216187,78.14216423034668,"unknown","unknown",84.20658802986145,91.43213939666748,93.74830722808838,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",100.53530192375183,"unknown","unknown",106.24024844169617,"",""
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5a20153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2949a28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-21306.113555908203,"unknown",-21300.86348772049,-21294.598928451538,0.0,7.120756149291992,10.726277828216553,15.95737075805664,35.076306104660034,42.104642391204834,46.22588229179382,"unknown","unknown",52.94945478439331,59.51287889480591,61.77875995635986,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.41307783126831,"","unknown",74.1287636756897,76.77780365943909,"unknown","unknown",82.75438165664673,90.04236936569214,92.05327892303467,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",98.86955499649048,"unknown","unknown",104.53646469116211,"",""
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf983ba",-1019.2183892726898,"unknown",-1012.0847477912903,-1005.9378015995026,0.0,6.22621750831604,4281.572934389114,4287.492027044296,4299.495901346207,4306.370471715927,4326.8582220077515,"unknown","unknown",4332.911890029907,4339.9090094566345,4344.88361287117,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",4352.157177209854,"","unknown",4357.85831785202,4361.535740852356,"unknown","unknown",4368.515018701553,4375.164375782013,4384.017250537872,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",4389.905529975891,"unknown","unknown",4396.763239622116,"",""
"a80b75d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-9681.395847558975,"unknown",-9675.574285507202,-9670.042680740356,0.0,6.191322088241577,37940.13422012329,37947.375888586044,99432.36032032967,99439.77401638031,99443.68232631683,"unknown","unknown",99450.80615878105,99457.85160303116,99461.44385433197,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",99468.38185405731,"","unknown",99475.67318177223,99479.62179780006,99485.31778144836,"unknown","unknown",99491.62360954285,99497.2028207779,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",99503.20246505737,"unknown","unknown",99508.59876203537,"",""
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-33.83904790878296,"unknown",-27.587944269180298,-21.733227014541626,0.0,5.500363826751709,7.450869798660278,14.407988786697388,34.54207134246826,41.18157076835632,55.219234466552734,"unknown",61.03008723258972,"unknown",68.3185224533081,70.71607184410095,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",76.08178782463074,"","unknown",83.16500616073608,86.06301093101501,"unknown",92.94502401351929,"unknown",98.72657752037048,101.45449805259705,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",108.29030680656433,"unknown","unknown",115.43070673942566,"",""
"2dffb9e",-3033862.4895243645,"unknown",-3033856.893271446,-3033849.750025034,0.0,14.972655057907104,23.349497079849243,50.460888385772705,77.20753765106201,135.85413217544556,176.70902585983276,201.88373017311096,"unknown","unknown",222.7837085723877,227.1398468017578,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",264.79493975639343,"","unknown",291.3815486431122,333.4963252544403,"unknown",348.1307575702667,"unknown",355.47186160087585,363.9660167694092,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",371.02802872657776,"unknown","unknown",377.05266785621643,-25.346347332000732,""
"7a35b75",-86.61227488517761,"unknown",-80.50677585601807,-74.98193287849426,0.0,6.3769004344940186,9.262099742889404,14.805451154708862,35.53730654716492,42.10303020477295,58.980571269989014,"unknown","unknown",64.8921160697937,72.15068411827087,73.72775530815125,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",79.74850988388062,"","unknown",86.05650639533997,90.11007738113403,"unknown","unknown",95.48778557777405,101.49011659622192,103.36871933937073,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",110.1195125579834,"unknown","unknown",116.82172131538391,"",""
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1116780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"870dc60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-2229.992495059967,"unknown",-2224.758939266205,-2217.960661649704,0.0,6.281447172164917,8.438490390777588,14.720746517181396,26.205965518951416,32.687870264053345,36.72068476676941,"unknown",43.206246852874756,"unknown",49.94132137298584,51.88074326515198,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",58.73311901092529,"","unknown",65.57201886177063,68.87305855751038,"unknown",74.29661250114441,"unknown",80.56286597251892,82.58269929885864,88.86871910095215,91.16939306259155,97.02493262290955,"unknown","unknown",103.26933741569519,106.25311064720154,"unknown","unknown","unknown","unknown","unknown",113.18850374221802,"unknown",119.07553815841675,"",""
"0e42357","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ec15bc",-8910.169125556946,"unknown",-8903.260011434555,-8896.732454538345,0.0,5.4780638217926025,69.28594136238098,76.48815774917603,204.46936678886414,210.84234404563904,227.54562830924988,"unknown",233.80117440223694,"unknown",241.0925018787384,244.51715922355652,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",250.56769728660583,"","unknown",256.103488445282,260.89162731170654,"unknown",266.0704791545868,"unknown",271.2906267642975,283.85860538482666,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",290.16221857070923,"unknown","unknown",297.10897874832153,"",""
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e51496b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01baaf6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e8a0b7a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6c3f0f6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1f77294","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6f1360e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1e17723","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
