"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"c4bba29",-1081.2507660388947,-1074.3445522785187,-1068.1518244743347,-1062.8565356731415,0.0,6.550433397293091,8.717978715896606,14.305626392364502,26.333466291427612,31.991731882095337,34.31200170516968,40.41915798187256,"unknown","unknown",46.97857165336609,62.803998947143555,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",68.85535502433777,"unknown",74.45704388618469,106.80698847770691,112.52787494659424,"unknown","unknown",118.783376455307,120.60852408409119,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",126.19089078903198,"unknown","unknown",133.0807044506073,""
"2dffb9e",-137.17741441726685,-81.87846899032593,-25.37691640853882,-13.937723398208618,0.0,6.9757513999938965,8.834091901779175,15.54956579208374,26.624000787734985,36.346139907836914,39.20967078208923,45.27919030189514,"unknown","unknown",53.55714440345764,55.59100008010864,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",62.67140054702759,"unknown",69.20317125320435,71.16594409942627,77.24277782440186,"unknown","unknown",83.46578550338745,85.40615677833557,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",93.75375032424927,"unknown","unknown",101.41064310073853,""
"7a35b75",-2075946.299573183,-2075940.4353120327,-2075934.3520452976,-2075927.1755661964,0.0,5.946283340454102,26.268861293792725,33.264718770980835,46.63351607322693,52.08530640602112,57.445192098617554,"unknown","unknown",64.17380595207214,69.91806960105896,72.01302552223206,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",78.74684500694275,"unknown",84.53798389434814,88.10206317901611,"unknown",94.41744303703308,"unknown",101.23063325881958,103.36637783050537,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",109.56913089752197,"unknown","unknown",115.48042154312134,""
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1116780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
