"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","4_1"
"7b3c431",-541.0181481838226,"unknown",-535.1044974327087,-529.2533502578735,0.0,6.076338291168213,10.501005411148071,17.12284779548645,27.877296447753906,33.76309132575989,68.89042782783508,"unknown",76.11634254455566,"unknown",82.1516182422638,84.05442929267883,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",89.9488468170166,"","unknown",95.82076907157898,107.51197600364685,"unknown",114.8494656085968,"unknown",121.74707341194153,124.09519100189209,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",129.85955929756165,"unknown","unknown",136.07021069526672,"",""
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-7779.345387458801,"unknown",-7772.310343980789,-7765.825267314911,0.0,7.025206804275513,9.26498794555664,15.791548013687134,27.496609687805176,33.23086071014404,35.85686755180359,41.96116042137146,"unknown","unknown",47.51616716384888,49.313780307769775,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",57.02158260345459,"","unknown",64.01490020751953,66.31810140609741,75.74801230430603,"unknown","unknown",81.43209671974182,83.1011974811554,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",89.80175375938416,"unknown","unknown",95.2591872215271,"",""
"2dffb9e",-483.53560423851013,"unknown",-478.0484256744385,-472.5489206314087,0.0,6.0718066692352295,8.309295654296875,15.422766923904419,24.23454260826111,30.630332946777344,38.86772036552429,"unknown",45.65385818481445,"unknown",52.12467670440674,54.16075396537781,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",60.29713582992554,"","unknown",66.871248960495,71.11003518104553,76.47836995124817,"unknown","unknown",83.16125702857971,84.92156839370728,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",92.03520345687866,"unknown","unknown",98.8087739944458,"",""
"7a35b75",-1891.1037068367004,"unknown",-1884.3847618103027,-1877.5300736427307,0.0,5.886638879776001,17.940879821777344,24.100735425949097,2655.9808235168457,2662.5557050704956,2691.3393454551697,"unknown","unknown",2698.633467435837,2704.7997722625732,2707.503718852997,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2713.7088916301727,"","unknown",2720.913327932358,2727.883692741394,"unknown","unknown",2734.1057052612305,2739.587150335312,2741.5883963108063,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",2747.8611438274384,"unknown","unknown",2754.2563586235046,"",""
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1116780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471",-46033.3369178772,"unknown",-46026.304856061935,-46020.2344751358,0.0,6.447838306427002,8.317771673202515,14.084454774856567,25.604646682739258,32.75791835784912,49.90108847618103,"unknown",55.93709135055542,"unknown",63.017998933792114,64.98761224746704,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",70.46202516555786,"","unknown",77.07647800445557,85.68442702293396,"unknown",91.95926856994629,"unknown",98.69082832336426,101.7899444103241,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",108.49113774299622,"unknown","unknown",115.71134066581726,"",""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
