"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","5_1"
"b92dee2",-5692.4698877334595,"unknown",-5686.713964700699,-5679.902142286301,0.0,7.3365867137908936,11.53601598739624,17.63018298149109,30.680863618850708,37.96753478050232,39.87952661514282,46.77300238609314,"unknown","unknown",53.306058168411255,56.7026207447052,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",63.51315379142761,"","unknown",69.82199549674988,75.87273836135864,81.40461277961731,"unknown","unknown",87.39944338798523,148.93249487876892,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",156.02781176567078,"unknown","unknown",161.52859091758728,"",""
"50ec1c5",-99.72304272651672,"unknown",-92.7562427520752,-87.20319080352783,0.0,5.491420269012451,15.87072229385376,22.602264165878296,61.94283175468445,68.5230860710144,85.15613555908203,91.52846622467041,"unknown","unknown",97.19356775283813,100.58706569671631,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",106.28023076057434,"","unknown",112.61382222175598,121.62789726257324,126.96935153007507,"unknown","unknown",132.41812705993652,135.79280304908752,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",142.36834836006165,"unknown","unknown",147.90245842933655,"",""
"11892fd",-103275.4809744358,"unknown",-103270.26603984833,-103264.71775269508,0.0,5.815857410430908,9.95916223526001,16.105297088623047,29.36783194541931,36.1187686920166,65.86338901519775,"unknown",72.95965719223022,"unknown",80.00405144691467,125.50979423522949,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",131.26423501968384,"","unknown",138.23675966262817,143.1664321422577,150.32384061813354,"unknown","unknown",156.4939091205597,159.3622829914093,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",166.21275782585144,"unknown","unknown",172.68536949157715,"",""
"e65bef7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e5bb5fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fcf59af","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-1560.1964597702026,"unknown",-1553.665950536728,-1548.3011140823364,0.0,6.403553247451782,11.018835067749023,17.731136083602905,53.85238289833069,59.36146330833435,64.7620096206665,"unknown","unknown",70.70040464401245,77.4999189376831,80.56099104881287,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",87.114413022995,"","unknown",94.0189700126648,100.91957950592041,"unknown","unknown",107.4523983001709,114.45269393920898,121.47325253486633,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",127.2318844795227,"unknown","unknown",133.47266483306885,"",""
"ee4b6cd",-24360.55569577217,"unknown",-24353.831794261932,-24347.71653151512,0.0,5.745036840438843,10.7183837890625,16.204116821289062,38.08875226974487,44.203662633895874,67.77177405357361,"unknown",74.69495010375977,"unknown",80.48600006103516,82.06572103500366,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",88.78664493560791,"","unknown",94.98577785491943,132.86783599853516,138.3118953704834,"unknown","unknown",144.49996185302734,146.27799797058105,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",152.89190196990967,"unknown","unknown",158.36445021629333,"",""
"f2291ba",-92712.41539311409,"unknown",-92706.04945898056,-92699.25271749496,0.0,6.32467794418335,12.003535032272339,19.234946727752686,54.19225335121155,60.09734797477722,63.759089946746826,69.02123641967773,"unknown","unknown",75.06506156921387,77.73468470573425,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",83.29784178733826,"","unknown",90.20823740959167,93868.3904004097,93874.19783973694,"unknown","unknown",93880.99798941612,93884.59154701233,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",93890.71098661423,"unknown","unknown",93897.30711102486,"",""
