"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","yo_3","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","cont_2","2_1","2_2"
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fcf59af","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-7638.799223184586,"unknown",-7632.8300766944885,-7626.386345386505,0.0,7.328357219696045,12.918299198150635,19.163100719451904,62.25390601158142,67.99202013015747,85.04472994804382,"unknown","unknown",91.66310477256775,97.66319870948792,99.87874174118042,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",105.83342742919922,"","unknown",112.735524892807,115.88531184196472,"unknown","unknown",122.79478549957275,128.46712398529053,142.5106978416443,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",148.92877101898193,"unknown","unknown",155.93212580680847,"","",""
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5a20153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f",-35308.72945809364,"unknown",-35302.38157463074,-35295.32897567749,0.0,6.521635055541992,10.551556825637817,17.736074686050415,49.617345094680786,55.83691430091858,62.51362490653992,"unknown","unknown",67.80688834190369,73.53539395332336,76.01260185241699,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",81.62060046195984,"","unknown",87.8175299167633,94.77756071090698,"unknown",101.39967370033264,"unknown",107.98119568824768,109.54691910743713,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",116.16417932510376,"unknown","unknown",122.01801419258118,"","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2949a28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
