"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"43d0b63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"870dc60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-5229.401018857956,-5223.682400941849,-5218.252241134644,-5211.727523088455,0.0,7.378913640975952,1875.0848636627197,1883.6203582286835,1893.3183948993683,1899.1868424415588,1906.195909500122,"unknown","unknown",1913.2276244163513,1920.4072666168213,1927.6247129440308,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",1932.9420580863953,"unknown",1938.9600367546082,1942.2951300144196,"unknown","unknown",1948.9778401851654,1955.5237517356873,1957.0650329589844,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1964.123262166977,"unknown","unknown",1970.2394032478333
"0e42357","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ec15bc",-21275.65840625763,-21268.90193080902,-21261.76085639,-21256.054663181305,0.0,6.561073303222656,14.203033447265625,21.941078662872314,42.492820262908936,49.289474964141846,51.70369029045105,"unknown","unknown",58.77009129524231,64.128573179245,70.79814577102661,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",77.97690105438232,"unknown",84.59261202812195,86.45942330360413,"unknown","unknown",93.19696831703186,98.93778347969055,125.52976584434509,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",132.67843461036682,"unknown","unknown",139.91559958457947
