"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","5_1","2_1","7_otro_1"
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530",-1290525.8772275448,"unknown",-1290520.2104501724,-1290513.0887262821,0.0,5.75376558303833,10.46208143234253,18.736228466033936,47.67796516418457,54.752771854400635,75.01781749725342,"unknown",82.05126070976257,"unknown",87.76074409484863,89.69442224502563,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.2882878780365,"","unknown",102.1299500465393,111.06298661231995,116.45348501205444,"unknown","unknown",122.34453392028809,124.27741599082947,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",130.1276195049286,"unknown","unknown",135.64896392822266,"","",""
"47dcadc",-25309.533937454224,"unknown",-25302.58139014244,-25295.7609975338,0.0,6.6828436851501465,13.317494869232178,21.145118236541748,75.38510489463806,82.30019092559814,109.92644548416138,"unknown","unknown",115.59649801254272,121.98068857192993,138.78451013565063,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",145.68443393707275,"","unknown",151.8254063129425,164.11857390403748,"unknown","unknown",170.4551863670349,177.021005153656,179.59852838516235,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",185.83381605148315,"unknown","unknown",192.48725771903992,"","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e65bef7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e5bb5fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fcf59af","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-525.8212387561798,"unknown",-519.85879778862,-513.5254669189453,0.0,6.33316969871521,13.682387351989746,21.17104744911194,38.31274628639221,44.558327436447144,51.18519330024719,"unknown","unknown",57.53435730934143,64.25404691696167,73.4545488357544,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",79.4762921333313,"","unknown",85.06384444236755,100.55495023727417,107.28035068511963,"unknown","unknown",112.58352828025818,116.77013564109802,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",122.70545959472656,"unknown","unknown",129.0693576335907,"","",""
"ee4b6cd",-468.1609263420105,"unknown",-461.45300245285034,-455.37313771247864,0.0,6.679313898086548,9.563294649124146,16.944692611694336,41.69516682624817,48.93771958351135,56.91499376296997,"unknown","unknown",63.466028928756714,70.18621039390564,76.70666003227234,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",82.43549036979675,"","unknown",88.97231721878052,99.96663451194763,"unknown","unknown",107.05687069892883,113.18669486045837,115.23827266693115,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",121.68131160736084,"unknown","unknown",127.01774334907532,"","",""
"f2291ba",-534904.26948452,"unknown",-534897.927526474,-534892.0966114998,0.0,6.737902879714966,12.814584016799927,19.601470470428467,59.73094916343689,65.12537121772766,74.69723701477051,"unknown","unknown",80.84586429595947,87.18936038017273,89.89716744422913,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.10902762413025,"","unknown",101.97211623191833,108.52752733230591,"unknown",115.30256748199463,"unknown",120.63298082351685,122.78846764564514,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",128.24458527565002,"unknown","unknown",135.01726412773132,"","",""
"fb6ca94",-8487.409143686295,"unknown",-8481.430517911911,-8476.053206682205,0.0,6.649503469467163,10.545113563537598,17.996416807174683,44.10856246948242,50.41899824142456,56.34110641479492,"unknown","unknown",63.0921471118927,68.7871081829071,71.20700764656067,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",77.59457755088806,"","unknown",83.96363639831543,96.11535477638245,"unknown",101.78162622451782,"unknown",107.47796440124512,112.35983419418335,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",117.93420481681824,"unknown","unknown",124.03798174858093,"","",""
"5a20153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f",-256.71702694892883,"unknown",-250.33163189888,-242.9981906414032,0.0,7.248790264129639,33.18994212150574,41.873005867004395,101.74504518508911,108.86235618591309,117.1359646320343,"unknown","unknown",123.708979845047,129.10890245437622,131.23853707313538,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",138.30678701400757,"","unknown",143.92109632492065,186.49924421310425,"unknown","unknown",193.01910376548767,200.25873589515686,203.6362817287445,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",210.11905121803284,"unknown","unknown",216.92176723480225,"","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2949a28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-9784.611547231674,"unknown",-9779.216034412384,-9773.332548856735,0.0,6.534832954406738,10.553634643554688,18.011685848236084,31.86892056465149,37.38606643676758,45.0471465587616,"unknown","unknown",50.9160213470459,57.166590213775635,59.896750688552856,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",66.64520478248596,"","unknown",73.0574791431427,76.64911460876465,"unknown","unknown",83.25224566459656,90.06166434288025,94.92846775054932,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",101.43365430831909,"unknown","unknown",108.0528507232666,"","",""
"50a0fdd",-212.76479244232178,"unknown",-206.6780502796173,-199.618882894516,0.0,5.925267934799194,18.78589391708374,26.36219549179077,63.265819787979126,68.81946516036987,74.3998076915741,"unknown",80.93912124633789,"unknown",87.93366360664368,102.92896676063538,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",109.09452891349792,"","unknown",115.22675156593323,123.51832175254822,"unknown",130.77009177207947,"unknown",137.84217619895935,139.43693900108337,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",144.97513937950134,"unknown","unknown",150.86748147010803,"","",""
"b7cec81",-18435.24106502533,"unknown",-18429.400278806686,-18423.34461426735,0.0,5.614318132400513,8.668655157089233,16.946120738983154,61.836196422576904,67.7342939376831,80.95545148849487,"unknown","unknown",86.79975461959839,92.57271409034729,94.53248262405396,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",101.10458779335022,"","unknown",107.50869417190552,113.7400894165039,"unknown","unknown",119.3278911113739,125.50239300727844,127.52951622009277,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",133.10498046875,"unknown","unknown",140.42614698410034,"","",""
"bf983ba",-990.5457026958466,"unknown",-983.9431245326996,-976.9342868328094,0.0,5.918814659118652,7.356500864028931,15.218597173690796,26.32337784767151,32.176960706710815,35.26215958595276,"unknown",42.146894693374634,"unknown",47.759231090545654,49.36031436920166,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",56.38776659965515,"","unknown",63.334070920944214,69.98498725891113,"unknown",77.02396988868713,"unknown",82.39557909965515,89.40626883506775,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.7294716835022,"unknown","unknown",102.09817481040955,"","",""
"a80b75d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
