"","x_1","x_2","x_final"
"844fef2","B","","B"
"e3983fc","","",""
"29d5c2d","B","","B"
"c8e93ba","","",""
"35c93ab","","",""
"36b4ec5","A","","A"
"3883e37","B","","B"
"50ec1c5","B","A","A"
"e0e4f04","B","","B"
"6801018","A","","A"
"e1b193b","B","","B"
"12dfda3","A","","A"
"431a1f2","","",""
"466a0ab","A","","A"
"b93f60e","A","","A"
"98b4423","","",""
"965ec7c","A","","A"
"1d3b63b","B","","B"
"6099d06","A","","A"
"814517e","B","","B"
"56ee475","B","","B"
"e845b6b","B","","B"
"3458a8b","B","","B"
"047f2ca","A","","A"
"a80b75d","B","","B"
"1b1a108","B","","B"
"dbef0f1","","",""
"5d2b358","B","","B"
"c36bc4b","","",""
"f2e6813","","",""
"173b4d2","B","","B"
"98ecb86","B","","B"
"bf3dfcf","B","","B"
"b75259d","B","","B"
"b5edd3c","B","","B"
"dbe3880","A","A","A"
"d27b032","A","","A"
"5ba2fe6","B","","B"
"e6d310e","B","","B"
"0e42357","A","","A"
"5d4fcbe","B","","B"
"e98cdcd","B","","B"
"3129a5f","","",""
"3c60f14","","",""
"fbc9f8e","","",""
"e2517d9","B","","B"
"4eff6be","B","","B"
"d886e8c","A","","A"
"518e9b8","B","","B"
"0ff20c2","B","","B"
"47dcadc","A","","A"
"168adfc","","",""
"1883ca0","B","","B"
"37b9a9f","B","","B"
"44c4439","","",""
"d8c6137","A","","A"
"cde024d","B","","B"
"41f497c","A","","A"
"9cfbb83","A","","A"
"13dba9e","B","","B"
"2969d00","B","","B"
"a28c2ed","","",""
"53deb5c","B","","B"
"7baeff7","B","","B"
"1800004","B","","B"
"758fff8","B","","B"
"e56df1e","","",""
"f9b9236","B","","B"
"6c8f107","","",""
"959908d","B","","B"
"7cf831f","B","","B"
"152aa4d","B","","B"
"4997357","B","","B"
"390c370","","",""
"0975113","A","","A"
"145d339","B","","B"
"9ff15be","","",""
"c97639e","B","","B"
"d3e37eb","B","","B"
"0fd9ca7","B","","B"
"2d90b99","","",""
"024f546","B","","B"
"190aebe","","",""
"4a92bfd","B","","B"
"388a24f","B","","B"
"c2d349a","","",""
